CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
CVE-2022-1586 - HIGH -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - HIGH -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2021-4214 - LOW -  libpng: hardcoded value leads to heap-overflow
CVE-2004-0971 - LOW -  security flaw
CVE-2021-4217 - LOW -  unzip: Null pointer dereference in Unicode strings code
CVE-2021-4209 - MEDIUM -  GnuTLS: Null pointer dereference in MD_UPDATE
CVE-2021-45346 - MEDIUM -  sqlite: crafted SQL query allows a malicious user to obtain sensitive information
