CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2022-27406 - LOW -  Freetype: Segmentation violation
CVE-2022-22747 - LOW -  Mozilla: Crash when handling empty pkcs7 sequence
CVE-2021-3598 - LOW -  OpenEXR: Heap buffer overflow in Imf_3_1::CharPtrIO::readChars
CVE-2021-23215 - LOW -  OpenEXR: Integer-overflow in Imf_2_5::DwaCompressor::initializeBuffers
CVE-2021-26260 - LOW -  OpenEXR: Integer-overflow in Imf_2_5::DwaCompressor::initializeBuffers
CVE-2021-45942 - LOW -  OpenEXR: heap-based buffer overflow in Imf_3_1:LineCompositeTask:execute
CVE-2020-10001 - LOW -  cups: access to uninitialized buffer in ipp.c
CVE-2022-27781 - LOW -  curl: CERTINFO never-ending busy-loop
CVE-2022-27776 - LOW -  curl: auth/cookie leak on redirect
CVE-2020-35512 - LOW -  dbus: users with the same numeric UID could lead to use-after-free and undefined behaviour
CVE-2020-0499 - LOW -  flac: out-of-bounds read can lead to denial of service
CVE-2020-23922 - LOW -  giflib: out-of-bounds read in DumpScreen2RGB() in gif2rgb.c in gif2rgb tool
CVE-2022-28506 - LOW -  giflib:Buffer overflow in function DumpScreen2RGB()
CVE-2021-4048 - LOW -  lapack: Out-of-bounds read in *larrv
CVE-2017-18201 - LOW -  libcdio: Double free in get_cdtext_generic() in lib/driver/_cdio_generic.c
CVE-2019-20446 - LOW -  librsvg: Resource exhaustion via crafted SVG file with nested patterns
CVE-2021-4156 - LOW -  libsndfile: heap out-of-bounds read in src/flac.c in flac_buffer_copy
CVE-2020-35522 - LOW -  libtiff: Memory allocation failure in tiff2rgba
CVE-2021-3941 - LOW -  openexr: Divide-by-zero in Imf_3_1::RGBtoXYZ
CVE-2021-3575 - LOW -  openjpeg: heap-buffer-overflow in color.c may lead to DoS or arbitrary code execution
CVE-2015-20107 - LOW -  python(mailcap): findmatch() function does not sanitise the second argument
CVE-2018-19869 - LOW -  qt5-qtsvg: Invalid parsing of malformed url reference resulting in a denial of service
CVE-2021-3481 - LOW -  qt: Out of bounds read in function QRadialFetchSimd from crafted svg file
CVE-2015-9541 - LOW -  qt: XML entity expansion vulnerability
CVE-2020-17507 - LOW -  qt: buffer over-read in read_xbm_body in gui/image/qxbmhandler.cpp
CVE-2021-44269 - LOW -  wavpack: heap Out-of-bounds Read
CVE-2022-27404 - MEDIUM -  FreeType: Buffer Overflow
CVE-2021-3605 - MEDIUM -  OpenEXR: Heap buffer overflow in the rleUncompress function
CVE-2021-3468 - MEDIUM -  avahi: Local DoS by event-busy-loop from writing long lines to /run/avahi-daemon/socket
CVE-2022-22576 - MEDIUM -  curl: OAUTH2 bearer bypass in connection re-use
CVE-2022-27782 - MEDIUM -  curl: TLS and SSH connection too eager reuse
CVE-2022-27774 - MEDIUM -  curl: credential leak on redirect
CVE-2022-1304 - MEDIUM -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2022-25309 - MEDIUM -  fribidi: Heap-buffer-overflow in fribidi_cap_rtl_to_unicode
CVE-2022-25310 - MEDIUM -  fribidi: SEGV in fribidi_remove_bidi_marks
CVE-2022-25308 - MEDIUM -  fribidi: Stack based buffer overflow
CVE-2021-3800 - MEDIUM -  glib2: Possible privilege escalation thourgh pkexec and aliases
CVE-2021-3999 - MEDIUM -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2022-1271 - MEDIUM -  gzip: arbitrary-file-write vulnerability
CVE-2019-8397 - MEDIUM -  hdf5: Out-of-Bounds Read in function H5T_close_real in H5T.c
CVE-2019-9152 - MEDIUM -  hdf5: out of bounds read in function H5MM_xstrdup in H5MM.c
