CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2021-22945 - CRITICAL -  curl: use-after-free and double-free in MQTT sending
CVE-2022-22822 - CRITICAL -  expat: Integer overflow in addBinding in xmlparse.c
CVE-2022-22823 - CRITICAL -  expat: Integer overflow in build_model in xmlparse.c
CVE-2022-22824 - CRITICAL -  expat: Integer overflow in defineAttribute in xmlparse.c
CVE-2022-23852 - CRITICAL -  expat: Integer overflow in function XML_GetBuffer
CVE-2022-25315 - CRITICAL -  expat: Integer overflow in storeRawNames()
CVE-2022-25235 - CRITICAL -  expat: Malformed 2- and 3-byte UTF-8 sequences can lead to arbitrary code execution
CVE-2022-25236 - CRITICAL -  expat: Namespace-separator characters in "xmlns[:prefix]" attribute values can lead to arbitrary code execution
CVE-2022-23990 - CRITICAL -  expat: integer overflow in the doProlog function
CVE-2021-35942 - CRITICAL -  glibc: Arbitrary read in wordexp()
CVE-2022-23219 - CRITICAL -  glibc: Stack-based buffer overflow in sunrpc clnt_create via a long pathname
CVE-2022-23218 - CRITICAL -  glibc: Stack-based buffer overflow in svcunix_create via long pathnames
CVE-2021-33574 - CRITICAL -  glibc: mq_notify does not handle separately allocated thread attributes
CVE-2021-43267 - CRITICAL -  kernel: Insufficient validation of user-supplied sizes for the MSG_CRYPTO message type
CVE-2021-4048 - CRITICAL -  lapack: Out-of-bounds read in *larrv
CVE-2022-29155 - CRITICAL -  openldap: OpenLDAP SQL injection
CVE-2021-3711 - CRITICAL -  openssl: SM2 Decryption Buffer Overflow
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2019-8457 - CRITICAL -  sqlite: heap out-of-bound read in function rtreenode()
CVE-2022-0318 - CRITICAL -  vim: Heap-based buffer overflow in utf_head_off() in mbyte.c
CVE-2022-1154 - CRITICAL -  vim: use after free in utf_ptr2char
CVE-2022-0685 - HIGH -  : vim: Use of Out-of-range Pointer Offset in vim
CVE-2022-28356 - HIGH -  CVE-2022-28356 kernel: refcount leak in llc_ui_bind and llc_ui_autobind
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2022-1353 - HIGH -  Kernel: A kernel-info-leak issue in pfkey_register
CVE-2021-22946 - HIGH -  curl: Requirement to use TLS not properly enforced for IMAP, POP3, and FTP protocols
CVE-2022-24407 - HIGH -  cyrus-sasl: failure to properly escape SQL input allows an attacker to execute arbitrary SQL commands
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2021-46143 - HIGH -  expat: Integer overflow in doProlog in xmlparse.c
CVE-2022-22825 - HIGH -  expat: Integer overflow in lookup in xmlparse.c
CVE-2022-22826 - HIGH -  expat: Integer overflow in nextScaffoldPart in xmlparse.c
CVE-2022-22827 - HIGH -  expat: Integer overflow in storeAtts in xmlparse.c
CVE-2021-45960 - HIGH -  expat: Large number of prefixed XML attributes on a single tag can crash libexpat
CVE-2022-25314 - HIGH -  expat: integer overflow in copyString()
CVE-2022-25308 - HIGH -  fribidi: Stack based buffer overflow
CVE-2021-3999 - HIGH -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2021-43618 - HIGH -  gmp: Integer overflow and resultant buffer overflow via crafted input
CVE-2022-1271 - HIGH -  gzip: arbitrary-file-write vulnerability
CVE-2022-29156 - HIGH -  kernel:  rtrs-clt.c rtrs_clt_dev_release double free
CVE-2022-1247 - HIGH -  kernel: A race condition bug in rose_connect()
CVE-2020-16119 - HIGH -  kernel: DCCP CCID structure use-after-free may lead to DoS or code execution
CVE-2022-1011 - HIGH -  kernel: FUSE allows UAF reads of write() buffers, allowing theft of (partial) /etc/shadow hashes
CVE-2022-29581 - HIGH -  kernel: Improper Update of Reference Count vulnerability in net/sched
CVE-2022-27223 - HIGH -  kernel: In drivers/usb/gadget/udc/udc-xilinx.c the endpoint index is not validated
CVE-2020-12362 - HIGH -  kernel: Integer overflow in Intel(R) Graphics Drivers
CVE-2022-1043 - HIGH -  kernel: Linux Kernel io_uring Use-After-Free Privilege Escalation Vulnerability
CVE-2022-0500 - HIGH -  kernel: Linux ebpf logic vulnerability leads to critical memory read and write gaining root privileges
CVE-2022-29582 - HIGH -  kernel: Race condition that allows container escape to system root
CVE-2021-3653 - HIGH -  kernel: SVM nested virtualization issue in KVM (AVIC support)
CVE-2021-3656 - HIGH -  kernel: SVM nested virtualization issue in KVM (VMLOAD/VMSAVE)
CVE-2022-1012 - HIGH -  kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak
CVE-2021-39685 - HIGH -  kernel: USB gadget buffer overflow
CVE-2022-28893 - HIGH -  kernel: Use after free in SUNRPC subsystem
CVE-2022-1679 - HIGH -  kernel: Use-After-Free in ath9k_htc_probe_device() could cause an escalation of privileges
CVE-2022-28390 - HIGH -  kernel: a double free in ems_usb_start_xmit in drivers/net/can/usb/ems_usb.c
CVE-2022-28389 - HIGH -  kernel: a double free in mcba_usb_start_xmit in drivers/net/can/usb/mcba_usb.c
CVE-2022-28388 - HIGH -  kernel: a double free in usb_8dev_start_xmit in drivers/net/can/usb/usb_8dev.c
CVE-2021-35039 - HIGH -  kernel: allows loading unsigned kernel modules via init_module syscall
CVE-2022-27666 - HIGH -  kernel: buffer overflow in IPsec ESP transformation code
CVE-2021-4197 - HIGH -  kernel: cgroup: Use open-time creds and namespace for migration perm checks
CVE-2022-0492 - HIGH -  kernel: cgroups v1 release_agent feature may allow privilege escalation
CVE-2021-38300 - HIGH -  kernel: crafting anomalous machine code may lead to arbitrary Kernel code execution
CVE-2021-38160 - HIGH -  kernel: data corruption or loss can be triggered by an untrusted device that supplies a buf->len value exceeding the buffer size in drivers/char/virtio_console.c
CVE-2021-3864 - HIGH -  kernel: descendant's dumpable setting with certain SUID binaries
CVE-2021-22600 - HIGH -  kernel: double free in packet_set_ring() in net/packet/af_packet.c
CVE-2021-41864 - HIGH -  kernel: eBPF multiplication integer overflow in prealloc_elems_and_freelist() in kernel/bpf/stackmap.c leads to out-of-bounds write
CVE-2021-34866 - HIGH -  kernel: eBPF verification flaw
CVE-2022-22942 - HIGH -  kernel: failing usercopy allows for use-after-free exploitation
CVE-2021-4083 - HIGH -  kernel: fget: check that the fd still exists after getting a ref to it
CVE-2022-0185 - HIGH -  kernel: fs_context: heap overflow in legacy parameter handling
CVE-2022-25636 - HIGH -  kernel: heap out of bounds write in nf_dup_netdev.c
CVE-2022-0847 - HIGH -  kernel: improper initialization of the "flags" member of the new pipe_buffer
CVE-2021-4204 - HIGH -  kernel: improper input validation may lead to privilege escalation
CVE-2021-45485 - HIGH -  kernel: information leak in the IPv6 implementation
CVE-2021-38166 - HIGH -  kernel: integer overflow and out-of-bounds write in kernel/bpf/hashtab.c when many elements are placed in a single bucket
CVE-2021-3612 - HIGH -  kernel: joydev: zero size passed to joydev_handle_JSIOCSBTNMAP()
CVE-2022-0995 - HIGH -  kernel: kernel bug in the watch_queue subsystem
CVE-2021-4154 - HIGH -  kernel: local privilege escalation by exploiting the fsconfig syscall parameter leads to container breakout
CVE-2022-23222 - HIGH -  kernel: local privileges escalation in kernel/bpf/verifier.c
CVE-2021-41073 - HIGH -  kernel: local user privilege escalation via loop_rw_iter in fs/io_uring.c
CVE-2021-3847 - HIGH -  kernel: low-privileged user privileges escalation
CVE-2013-7445 - HIGH -  kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects
CVE-2021-42252 - HIGH -  kernel: memory overwrite in the kernel with potential privileges execution
CVE-2022-0516 - HIGH -  kernel: missing check in ioctl allows kernel memory read/write
CVE-2019-19449 - HIGH -  kernel: mounting a crafted f2fs filesystem image can lead to slab-out-of-bounds read access in f2fs_build_segment_manager in fs/f2fs/segment.c
CVE-2021-20322 - HIGH -  kernel: new DNS Cache Poisoning Attack based on ICMP fragment needed packets replies
CVE-2021-3739 - HIGH -  kernel: null-ptr-dereference bug in btrfs_rm_device in fs/btrfs/volumes.c
CVE-2021-3743 - HIGH -  kernel: out-of-bound Read in qrtr_endpoint_post in net/qrtr/qrtr.c
CVE-2021-45469 - HIGH -  kernel: out-of-bounds memory access in __f2fs_setxattr() in fs/f2fs/xattr.c when an inode has an invalid last xattr entry
CVE-2019-19814 - HIGH -  kernel: out-of-bounds write in __remove_dirty_segment in fs/f2fs/segment.c
CVE-2019-19378 - HIGH -  kernel: out-of-bounds write in index_rbio_pages in fs/btrfs/raid56.c
CVE-2022-0330 - HIGH -  kernel: possible privileges escalation due to missing TLB flush
CVE-2021-3752 - HIGH -  kernel: possible use-after-free in bluetooth module
CVE-2022-26490 - HIGH -  kernel: potential buffer overflows in EVT_TRANSACTION in st21nfca
CVE-2021-37576 - HIGH -  kernel: powerpc: KVM guest OS users can cause host OS memory corruption
CVE-2022-1048 - HIGH -  kernel: race condition in snd_pcm_hw_free leading to use-after-free
CVE-2021-39686 - HIGH -  kernel: race condition in the Android binder driver could lead to incorrect security checks
CVE-2021-40490 - HIGH -  kernel: race condition was discovered in ext4_write_inline_data_end in fs/ext4/inline.c in the ext4 subsystem
CVE-2022-0435 - HIGH -  kernel: remote stack overflow via kernel panic on systems using TIPC may lead to DoS
CVE-2021-42008 - HIGH -  kernel: slab out-of-bounds write in decode_data() in drivers/net/hamradio/6pack.c
CVE-2021-4028 - HIGH -  kernel: use-after-free in RDMA listen()
CVE-2022-24958 - HIGH -  kernel: use-after-free in dev->buf release in drivers/usb/gadget/legacy/inode.c
CVE-2022-1055 - HIGH -  kernel: use-after-free in tc_new_tfilter() in net/sched/cls_api.c
CVE-2021-44733 - HIGH -  kernel: use-after-free in the TEE subsystem
CVE-2021-39698 - HIGH -  kernel: use-after-free in the file polling implementation
CVE-2021-3640 - HIGH -  kernel: use-after-free vulnerability in function sco_sock_sendmsg()
CVE-2021-36222 - HIGH -  krb5: Sending a request containing PA-ENCRYPTED-CHALLENGE padata element without using FAST could result in NULL dereference in KDC which leads to DoS
CVE-2021-33560 - HIGH -  libgcrypt: mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm
CVE-2022-0891 - HIGH -  libtiff: heap buffer overflow in extractImageSection
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
CVE-2022-0778 - HIGH -  openssl: Infinite loop in BN_mod_sqrt() reachable when parsing certificates
CVE-2021-3712 - HIGH -  openssl: Read buffer overruns processing ASN.1 strings
CVE-2022-1586 - HIGH -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - HIGH -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2020-16156 - HIGH -  perl-CPAN: Bypass of verification of signatures in CHECKSUMS files
CVE-2021-36770 - HIGH -  perl-Encode: bug in local configuration loading allows arbitrary Perl code execution placed under the current working directory
CVE-2021-3973 - HIGH -  vim: Heap based buffer overflow in findfile.c
CVE-2021-3968 - HIGH -  vim: Heap use-after-free in ml_append_int function
CVE-2022-0943 - HIGH -  vim: Heap-based Buffer Overflow occurs in vim
CVE-2022-0261 - HIGH -  vim: Heap-based buffer overflow in block_insert() in src/ops.c
CVE-2022-0392 - HIGH -  vim: Heap-based buffer overflow in getexmodeline() in ex_getln.c
CVE-2022-0359 - HIGH -  vim: Heap-based buffer overflow in init_ccline() in ex_getln.c
CVE-2022-0361 - HIGH -  vim: Illegal memory access when copying lines in visual mode leads to heap buffer overflow
CVE-2022-0368 - HIGH -  vim: Out-of-bounds Read in vim
CVE-2022-0408 - HIGH -  vim: Stack-based Buffer Overflow in spellsuggest.c
CVE-2022-0629 - HIGH -  vim: Stack-based Buffer Overflow in vim prior to 8.2.
CVE-2021-3974 - HIGH -  vim: Use after free in regexp_nfa.c
CVE-2022-0413 - HIGH -  vim: Use after free in src/ex_cmds.c
CVE-2022-0729 - HIGH -  vim: Use of Out-of-range Pointer Offset
CVE-2022-0554 - HIGH -  vim: Use of Out-of-range Pointer Offset in vim
CVE-2022-0351 - HIGH -  vim: access of memory location before start of buffer
CVE-2022-1381 - HIGH -  vim: global heap buffer overflow in skip_range
CVE-2022-1621 - HIGH -  vim: heap buffer overflow
CVE-2022-0572 - HIGH -  vim: heap overflow in ex_retab() may lead to crash
CVE-2021-4136 - HIGH -  vim: heap-based buffer overflow in eval_lambda() in src/eval.c
