CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2022-27406 - LOW -  Freetype: Segmentation violation
CVE-2022-27781 - LOW -  curl: CERTINFO never-ending busy-loop
CVE-2022-27776 - LOW -  curl: auth/cookie leak on redirect
CVE-2022-27775 - LOW -  curl: bad local IPv6 connection reuse
CVE-2016-20013 - LOW -  null
CVE-2022-1586 - LOW -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - LOW -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2022-27404 - MEDIUM -  FreeType: Buffer Overflow
CVE-2022-22576 - MEDIUM -  curl: OAUTH2 bearer bypass in connection re-use
CVE-2022-27782 - MEDIUM -  curl: TLS and SSH connection too eager reuse
CVE-2022-27774 - MEDIUM -  curl: credential leak on redirect
CVE-2022-1304 - MEDIUM -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2021-3999 - MEDIUM -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2022-1271 - MEDIUM -  gzip: arbitrary-file-write vulnerability
CVE-2022-1292 - MEDIUM -  openssl: c_rehash script allows command injection
CVE-2021-3997 - MEDIUM -  systemd: Uncontrolled recursion in systemd-tmpfiles when removing files
CVE-2021-3995 - MEDIUM -  util-linux: Unauthorized unmount of FUSE filesystems belonging to users with similar uid
CVE-2021-3996 - MEDIUM -  util-linux: Unauthorized unmount of filesystems in libmount
