CVE-2022-23960 - HIGH -  hw: cpu: arm64: Spectre-BHB
CVE-2021-20299 - LOW -  OpenEXR: Null-dereference READ in Imf_2_5::Header::operator
CVE-2019-14899 - LOW -  VPN: an attacker can inject data into the TCP stream which allows a hijack of active connections inside the VPN tunnel
CVE-2019-1010204 - LOW -  binutils: Improper Input Validation, Signed/Unsigned Comparison, Out-of-bounds Read in gold/fileread.cc and elfcpp/elfcpp_file.h leads to denial of service
CVE-2017-13716 - LOW -  binutils: Memory leak with the C++ symbol demangler routine in libiberty
CVE-2021-45078 - LOW -  binutils: out-of-bounds write in stab_xcoff_builtin_type() in stabs.c
CVE-2017-7475 - LOW -  cairo: NULL pointer dereference with a crafted font file
CVE-2018-18064 - LOW -  cairo: Stack-based buffer overflow via parsing of crafted WebKitGTK+ document
CVE-2019-6461 - LOW -  cairo: assertion problem in _cairo_arc_in_direction in cairo-arc.c
CVE-2016-2781 - LOW -  coreutils: Non-privileged session can escape to the parent session in chroot
CVE-2015-5276 - LOW -  gcc: Predictable randomness from std::random_device
CVE-2022-28506 - LOW -  giflib: buffer overflow in function DumpScreen2RGB()
CVE-2018-1000021 - LOW -  git: client prints server-sent ANSI escape codes to the terminal, allowing for unverified messages to potentially execute arbitrary commands
CVE-2009-5155 - LOW -  glibc: parse_reg_exp in posix/regcomp.c misparses alternatives leading to denial of service or trigger incorrect result
CVE-2015-8985 - LOW -  glibc: potential denial of service in pop_fail_stack()
CVE-2022-3219 - LOW -  gnupg: denial of service issue (resource consumption) using compressed packets
CVE-2018-16868 - LOW -  gnutls: Bleichenbacher-like side channel leakage in PKCS#1 v1.5 verification and padding oracle verification
CVE-2018-10196 - LOW -  graphviz: NULL pointer dereference in rebuild_vlis
CVE-2019-11358 - LOW -  jquery: Prototype pollution in object's prototype leading to denial of service, remote code execution, or property injection
CVE-2020-11023 - LOW -  jquery: Untrusted code execution via <option> tag in HTML passed to DOM manipulation methods
CVE-2017-13693 - LOW -  kernel: ACPI operand cache leak in dsutils.c
CVE-2021-34981 - LOW -  kernel: Bluetooth CMTP Module Double Free Privilege Escalation Vulnerability
