CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2019-12900 - CRITICAL -  bzip2: out-of-bounds write in function BZ2_decompress
CVE-2018-1000120 - CRITICAL -  curl: FTP path trickery leads to NIL byte out of bounds write
CVE-2017-8817 - CRITICAL -  curl: FTP wildcard out of bounds read
CVE-2018-1000007 - CRITICAL -  curl: HTTP authentication leak in redirects
CVE-2018-16842 - CRITICAL -  curl: Heap-based buffer over-read in the curl tool warning formatting
CVE-2017-1000257 - CRITICAL -  curl: IMAP FETCH response out of bounds read
CVE-2018-16839 - CRITICAL -  curl: Integer overflow leading to heap-based buffer overflow in Curl_sasl_create_plain_message()
CVE-2017-8816 - CRITICAL -  curl: NTLM buffer overflow via integer overflow
CVE-2018-14618 - CRITICAL -  curl: NTLM password overflow via integer overflow
CVE-2019-3822 - CRITICAL -  curl: NTLMv2 type-3 header stack buffer overflow
CVE-2018-1000301 - CRITICAL -  curl: Out-of-bounds heap read when missing RTSP headers allows information leak or denial of service
CVE-2018-1000122 - CRITICAL -  curl: RTSP RTP buffer over-read
CVE-2016-7167 - CRITICAL -  curl: escape and unescape integer overflows
CVE-2019-5482 - CRITICAL -  curl: heap buffer overflow in function tftp_receive_packet()
CVE-2021-22945 - CRITICAL -  curl: use-after-free and double-free in MQTT sending
CVE-2022-22822 - CRITICAL -  expat: Integer overflow in addBinding in xmlparse.c
CVE-2022-22823 - CRITICAL -  expat: Integer overflow in build_model in xmlparse.c
CVE-2022-22824 - CRITICAL -  expat: Integer overflow in defineAttribute in xmlparse.c
CVE-2022-23852 - CRITICAL -  expat: Integer overflow in function XML_GetBuffer
CVE-2022-25315 - CRITICAL -  expat: Integer overflow in storeRawNames()
CVE-2022-25235 - CRITICAL -  expat: Malformed 2- and 3-byte UTF-8 sequences can lead to arbitrary code execution
CVE-2022-25236 - CRITICAL -  expat: Namespace-separator characters in "xmlns[:prefix]" attribute values can lead to arbitrary code execution
CVE-2022-23990 - CRITICAL -  expat: integer overflow in the doProlog function
CVE-2016-9063 - CRITICAL -  firefox: Possible integer overflow to fix inside XML_Parse in Expat
CVE-2015-9290 - CRITICAL -  freetype: buffer over-read in function T1_Get_Private_Dict in type1/t1parse.c
CVE-2017-8287 - CRITICAL -  freetype: heap-based buffer overflow related to the t1_builder_close_contour function
CVE-2017-8105 - CRITICAL -  freetype: heap-based buffer overflow related to the t1_decoder_parse_charstrings
CVE-2021-35942 - CRITICAL -  glibc: Arbitrary read in wordexp()
CVE-2018-6485 - CRITICAL -  glibc: Integer overflow in posix_memalign in memalign functions
CVE-2022-23219 - CRITICAL -  glibc: Stack-based buffer overflow in sunrpc clnt_create via a long pathname
CVE-2022-23218 - CRITICAL -  glibc: Stack-based buffer overflow in svcunix_create via long pathnames
CVE-2014-9761 - CRITICAL -  glibc: Unbounded stack allocation in nan* functions
CVE-2021-33574 - CRITICAL -  glibc: mq_notify does not handle separately allocated thread attributes
CVE-2019-9169 - CRITICAL -  glibc: regular-expression match via proceed_next_node in posix/regexec.c leads to heap-based buffer over-read
CVE-2017-5334 - CRITICAL -  gnutls: Double-free while decoding crafted X.509 certificates
CVE-2017-5337 - CRITICAL -  gnutls: Heap read overflow in read-packet.c
CVE-2017-5336 - CRITICAL -  gnutls: Stack overflow in cdk_pk_get_keyid
CVE-2021-20231 - CRITICAL -  gnutls: Use after free in client key_share extension
CVE-2021-20232 - CRITICAL -  gnutls: Use after free in client_send_params in lib/ext/pre_shared_key.c
CVE-2017-14952 - CRITICAL -  icu: Double free in i18n/zonemeta.cpp
CVE-2017-7525 - CRITICAL -  jackson-databind: Deserialization vulnerability via readValue method of ObjectMapper
CVE-2018-11307 - CRITICAL -  jackson-databind: Potential information exfiltration with default typing, serialization gadget from MyBatis
CVE-2019-17267 - CRITICAL -  jackson-databind: Serialization gadgets in classes of the ehcache package
CVE-2019-14893 - CRITICAL -  jackson-databind: Serialization gadgets in classes of the xalan package
CVE-2019-16943 - CRITICAL -  jackson-databind: Serialization gadgets in com.p6spy.engine.spy.P6DataSource
CVE-2019-14540 - CRITICAL -  jackson-databind: Serialization gadgets in com.zaxxer.hikari.HikariConfig
CVE-2019-16335 - CRITICAL -  jackson-databind: Serialization gadgets in com.zaxxer.hikari.HikariDataSource
CVE-2019-16942 - CRITICAL -  jackson-databind: Serialization gadgets in org.apache.commons.dbcp.datasources.*
CVE-2019-17531 - CRITICAL -  jackson-databind: Serialization gadgets in org.apache.log4j.receivers.db.*
CVE-2017-15095 - CRITICAL -  jackson-databind: Unsafe deserialization due to incomplete black list (incomplete fix for CVE-2017-7525)
CVE-2018-14719 - CRITICAL -  jackson-databind: arbitrary code execution in blaze-ds-opt and blaze-ds-core classes
CVE-2018-14718 - CRITICAL -  jackson-databind: arbitrary code execution in slf4j-ext class
CVE-2018-14720 - CRITICAL -  jackson-databind: exfiltration/XXE in some JDK classes
CVE-2018-19360 - CRITICAL -  jackson-databind: improper polymorphic deserialization in axis2-transport-jms class
CVE-2018-19362 - CRITICAL -  jackson-databind: improper polymorphic deserialization in jboss-common-core class
CVE-2018-19361 - CRITICAL -  jackson-databind: improper polymorphic deserialization in openjpa class
CVE-2018-7489 - CRITICAL -  jackson-databind: incomplete fix for CVE-2017-7525 permits unsafe serialization via c3p0 libraries
CVE-2019-20330 - CRITICAL -  jackson-databind: lacks certain net.sf.ehcache blocking
CVE-2018-14721 - CRITICAL -  jackson-databind: server-side request forgery (SSRF) in axis2-jaxws class
CVE-2022-21724 - CRITICAL -  jdbc-postgresql: Unchecked Class Instantiation when providing Plugin Classes
CVE-2018-14599 - CRITICAL -  libX11: Off-by-one error in XListExtensions in ListExt.c
CVE-2018-14600 - CRITICAL -  libX11: Out of Bounds write in XListExtensions in ListExt.c
CVE-2021-31535 - CRITICAL -  libX11: missing request length checks
CVE-2017-14062 - CRITICAL -  libidn2: Integer overflow in puny_decode.c/decode_digit
CVE-2019-3862 - CRITICAL -  libssh2: Out-of-bounds memory comparison with specially crafted message channel request
CVE-2019-3860 - CRITICAL -  libssh2: Out-of-bounds reads with specially crafted SFTP packets
CVE-2019-3861 - CRITICAL -  libssh2: Out-of-bounds reads with specially crafted SSH packets
