CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2020-7692 - CRITICAL -  google-oauth-client: missing PKCE support in accordance with the RFC for OAuth 2.0 for Native Apps can lead to improper authorization
CVE-2020-12268 - CRITICAL -  jbig2dec: heap-based buffer overflow in jbig2_image_compose in jbig2_image.c
CVE-2021-4048 - CRITICAL -  lapack: Out-of-bounds read in *larrv
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2021-42575 - CRITICAL -  owasp-java-html-sanitizer: improper policies enforcement may lead to remote code execution
CVE-2015-20107 - CRITICAL -  python(mailcap): findmatch() function does not sanitise the second argument
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2022-28463 - HIGH -  ImageMagick: heap-buffer-overflow in PushLongPixel() of quantum-private.h
CVE-2022-1114 - HIGH -  ImageMagick: heap-use-after-free in RelinquishDCMInfo of dcm.c
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2022-25308 - HIGH -  fribidi: Stack based buffer overflow
CVE-2021-3999 - HIGH -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2022-1271 - HIGH -  gzip: arbitrary-file-write vulnerability
CVE-2020-25638 - HIGH -  hibernate-core: SQL injection vulnerability when both hibernate.use_sql_comments and JPQL String literals are used
CVE-2021-25633 - HIGH -  libreoffice: Content Manipulation with Double Certificate Attack
CVE-2021-25636 - HIGH -  libreoffice: Incorrect trust validation of signature with ambiguous KeyInfo children
CVE-2021-25634 - HIGH -  libreoffice: Timestamp Manipulation with Signature Wrapping
CVE-2021-4156 - HIGH -  libsndfile: heap out-of-bounds read in src/flac.c in flac_buffer_copy
CVE-2017-16932 - HIGH -  libxml2: Infinite recursion in parameter entities
CVE-2022-23308 - HIGH -  libxml2: Use-after-free of ID and IDREF attributes
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
CVE-2021-3575 - HIGH -  openjpeg: heap-buffer-overflow in color.c may lead to DoS or arbitrary code execution
CVE-2022-1586 - HIGH -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - HIGH -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2019-20454 - HIGH -  pcre: Out of bounds read in JIT mode when \X is used in non-UTF mode
CVE-2017-18640 - HIGH -  snakeyaml: Billion laughs attack via alias feature
CVE-2022-24070 - HIGH -  subversion: Subversion's mod_dav_svn is vulnerable to memory corruption
CVE-2021-39139 - HIGH -  xstream: Arbitrary code execution via unsafe deserialization of Xalan xsltc.trax.TemplatesImpl
