CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2017-7226 - CRITICAL -  binutils: Heap-based buffer over-read in pe_ILF_object_p function in libbfd
CVE-2017-6969 - CRITICAL -  binutils: Heap-based buffer over-read in readelf when processing corrupt RL78 binaries
CVE-2016-10764 - CRITICAL -  kernel: off by one in function cqspi_setup_flash() in drivers/mtd/spi-nor/cadence-quadspi.c
CVE-2021-39713 - CRITICAL -  kernel: race condition in the network scheduling subsystem could lead to an use-after-free
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2022-1353 - HIGH -  Kernel: A kernel-info-leak issue in pfkey_register
CVE-2017-12454 - HIGH -  binutils: Arbitrary memory read in _bfd_vms_slurp_egs function
CVE-2017-7223 - HIGH -  binutils: Global buffer overflow when attempting to unget EOF character
CVE-2017-12799 - HIGH -  binutils: Heap-based 1 byte buffer over-write in elf_read_notes function in bfd/elf.c
CVE-2017-7227 - HIGH -  binutils: Heap-based buffer overflow in ld due to missing null termination
CVE-2017-7300 - HIGH -  binutils: Heap-buffer overflow in aout_link_add_symbols function
CVE-2017-14333 - HIGH -  binutils: Insuficient input validation in process_version_sections function in readelf.c
CVE-2017-12457 - HIGH -  binutils: NULL pointer dereference in bfd_make_section_with_flags function
CVE-2017-8394 - HIGH -  binutils: NULL pointer dereference in the _bfd_elf_large_com_section
CVE-2017-13710 - HIGH -  binutils: NULL pointer dereference in the setup_group function
CVE-2017-7225 - HIGH -  binutils: Null pointer dereference and invalid write in find_nearest_line function in addr2line
CVE-2017-7301 - HIGH -  binutils: Off-by-one error in aout_link_add_symbols function
CVE-2017-8397 - HIGH -  binutils: Out-of-bounds read and write while processing binary containing reloc(s) with negative addresses
CVE-2017-8393 - HIGH -  binutils: Out-of-bounds read due to wrong assumption for objcopy and strip
CVE-2017-7304 - HIGH -  binutils: Out-of-bounds read in copy_special_section_fields function
CVE-2017-7303 - HIGH -  binutils: Out-of-bounds read in find_link function
CVE-2017-8396 - HIGH -  binutils: Out-of-bounds read in the existing reloc offset range tests
CVE-2017-7302 - HIGH -  binutils: Out-of-bounds read in wap_std_reloc_out function
CVE-2017-8398 - HIGH -  binutils: Out-of-bounds read while dumping the debug information from a corrupt binary
CVE-2017-8395 - HIGH -  binutils: Out-of-bounds write in the _bfd_generic_get_section_contents function
CVE-2017-12448 - HIGH -  binutils: heap use after free in bfd_cache_close function
CVE-2017-12453 - HIGH -  binutils: out of bounds heap read in __bfd_vms_slurp_eeom function
CVE-2017-12449 - HIGH -  binutils: out of bounds heap read in _bfd_vms_save_sized_string function
CVE-2017-12452 - HIGH -  binutils: out of bounds heap read in bfd_mach_o_i386_canonicalize_one_reloc function
CVE-2017-12455 - HIGH -  binutils: out of bounds heap read in evax_bfd_print_emh function
CVE-2017-12458 - HIGH -  binutils: out of bounds heap read in nlm_swap_auxiliary_headers_in function
CVE-2017-12456 - HIGH -  binutils: out of bounds heap read in read_symbol_stabs_debugging_inf function
CVE-2017-12450 - HIGH -  binutils: out of bounds heap write in alpha_vms_object_p function
CVE-2017-12459 - HIGH -  binutils: out of bounds heap write in bfd_mach_o_read_symtab_strtab function
CVE-2017-12451 - HIGH -  binutils: out of bounds stack read in _bfd_xcoff_read_ar_hdr function
CVE-2020-35492 - HIGH -  cairo: libreoffice slideshow aborts with stack smashing in cairo's composite_boxes
CVE-2018-1128 - HIGH -  ceph: cephx protocol is vulnerable to replay attack
CVE-2020-14382 - HIGH -  cryptsetup: Out-of-bounds write when validating segments
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2020-23922 - HIGH -  giflib: out-of-bounds read in DumpScreen2RGB() in gif2rgb.c in gif2rgb tool
CVE-2022-28506 - HIGH -  giflib:Buffer overflow in function DumpScreen2RGB()
CVE-2021-27218 - HIGH -  glib: integer overflow in g_byte_array_new_take function when called with a buffer of 4GB or more on a 64-bit platform
CVE-2020-29573 - HIGH -  glibc: stack-based buffer overflow if the input to any of the printf family of functions is an 80-bit long double with a non-canonical bit pattern
CVE-2022-1247 - HIGH -  kernel: A race condition bug in rose_connect()
CVE-2021-4157 - HIGH -  kernel: Buffer overwrite in decode_nfs_fh function
CVE-2022-1011 - HIGH -  kernel: FUSE allows UAF reads of write() buffers, allowing theft of (partial) /etc/shadow hashes
CVE-2022-29581 - HIGH -  kernel: Improper Update of Reference Count vulnerability in net/sched
CVE-2018-1000026 - HIGH -  kernel: Improper validation in bnx2x network card driver can allow for denial of service attacks via crafted packet
CVE-2017-9725 - HIGH -  kernel: Incorrect type conversion for size during dma allocation
CVE-2020-12362 - HIGH -  kernel: Integer overflow in Intel(R) Graphics Drivers
CVE-2021-4093 - HIGH -  kernel: KVM: SVM: out-of-bounds read/write in sev_es_string_io
CVE-2022-1043 - HIGH -  kernel: Linux Kernel io_uring Use-After-Free Privilege Escalation Vulnerability
CVE-2022-0500 - HIGH -  kernel: Linux ebpf logic vulnerability leads to critical memory read and write gaining root privileges
CVE-2021-3491 - HIGH -  kernel: Linux kernel io_uring PROVIDE_BUFFERS MAX_RW_COUNT bypass
CVE-2021-3506 - HIGH -  kernel: Out of bounds memory access bug in get_next_net_page() in fs/f2fs/node.c
CVE-2021-4090 - HIGH -  kernel: Overflow of bmval[bmlen-1] in nfsd4_decode_bitmap function
CVE-2018-18021 - HIGH -  kernel: Privilege escalation on arm64 via KVM hypervisor
CVE-2017-18249 - HIGH -  kernel: Race condition in fs/f2fs/node.c:add_free_nid() function allows local users to cause denial of service
CVE-2021-3656 - HIGH -  kernel: SVM nested virtualization issue in KVM (VMLOAD/VMSAVE)
CVE-2022-1012 - HIGH -  kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak
CVE-2022-28893 - HIGH -  kernel: Use after free in SUNRPC subsystem
CVE-2022-1679 - HIGH -  kernel: Use-After-Free in ath9k_htc_probe_device() could cause an escalation of privileges
CVE-2021-3348 - HIGH -  kernel: Use-after-free in ndb_queue_rq() in drivers/block/nbd.c
CVE-2022-28390 - HIGH -  kernel: a double free in ems_usb_start_xmit in drivers/net/can/usb/ems_usb.c
CVE-2022-28389 - HIGH -  kernel: a double free in mcba_usb_start_xmit in drivers/net/can/usb/mcba_usb.c
CVE-2022-28388 - HIGH -  kernel: a double free in usb_8dev_start_xmit in drivers/net/can/usb/usb_8dev.c
CVE-2019-19074 - HIGH -  kernel: a memory leak in the ath9k management function in allows local DoS
CVE-2021-28660 - HIGH -  kernel: buffer overflow in rtw_wx_set_scan function in drivers/staging/rtl8188eu/os_dep/ioctl_linux.c
CVE-2022-0742 - HIGH -  kernel: bug memory leaks in ICMPv6 handlers
CVE-2021-4197 - HIGH -  kernel: cgroup: Use open-time creds and namespace for migration perm checks
CVE-2021-22600 - HIGH -  kernel: double free in packet_set_ring() in net/packet/af_packet.c
