CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2022-22822 - CRITICAL -  expat: Integer overflow in addBinding in xmlparse.c
CVE-2022-22823 - CRITICAL -  expat: Integer overflow in build_model in xmlparse.c
CVE-2022-22824 - CRITICAL -  expat: Integer overflow in defineAttribute in xmlparse.c
CVE-2022-23852 - CRITICAL -  expat: Integer overflow in function XML_GetBuffer
CVE-2022-25315 - CRITICAL -  expat: Integer overflow in storeRawNames()
CVE-2022-25235 - CRITICAL -  expat: Malformed 2- and 3-byte UTF-8 sequences can lead to arbitrary code execution
CVE-2022-25236 - CRITICAL -  expat: Namespace-separator characters in "xmlns[:prefix]" attribute values can lead to arbitrary code execution
CVE-2022-23990 - CRITICAL -  expat: integer overflow in the doProlog function
CVE-2021-35942 - CRITICAL -  glibc: Arbitrary read in wordexp()
CVE-2022-23219 - CRITICAL -  glibc: Stack-based buffer overflow in sunrpc clnt_create via a long pathname
CVE-2022-23218 - CRITICAL -  glibc: Stack-based buffer overflow in svcunix_create via long pathnames
CVE-2021-33574 - CRITICAL -  glibc: mq_notify does not handle separately allocated thread attributes
CVE-2021-20231 - CRITICAL -  gnutls: Use after free in client key_share extension
CVE-2021-20232 - CRITICAL -  gnutls: Use after free in client_send_params in lib/ext/pre_shared_key.c
CVE-2021-31535 - CRITICAL -  libX11: missing request length checks
CVE-2018-25011 - CRITICAL -  libwebp: heap-based buffer overflow in PutLE16()
CVE-2020-36328 - CRITICAL -  libwebp: heap-based buffer overflow in WebPDecode*Into functions
CVE-2018-25010 - CRITICAL -  libwebp: out-of-bounds read in ApplyFilter()
CVE-2020-36331 - CRITICAL -  libwebp: out-of-bounds read in ChunkAssignData() in mux/muxinternal.c
CVE-2020-36330 - CRITICAL -  libwebp: out-of-bounds read in ChunkVerifyAndAssign() in mux/muxread.c
CVE-2018-25013 - CRITICAL -  libwebp: out-of-bounds read in ShiftBytes()
CVE-2018-25009 - CRITICAL -  libwebp: out-of-bounds read in WebPMuxCreateInternal
CVE-2018-25012 - CRITICAL -  libwebp: out-of-bounds read in WebPMuxCreateInternal()
CVE-2018-25014 - CRITICAL -  libwebp: use of uninitialized value in ReadSymbol()
CVE-2020-36329 - CRITICAL -  libwebp: use-after-free in EmitFancyRGB() in dec/io_dec.c
CVE-2021-3520 - CRITICAL -  lz4: memory corruption due to an integer overflow bug caused by memmove argument
CVE-2022-29155 - CRITICAL -  openldap: OpenLDAP SQL injection
CVE-2021-3711 - CRITICAL -  openssl: SM2 Decryption Buffer Overflow
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2019-8457 - CRITICAL -  sqlite: heap out-of-bound read in function rtreenode()
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2020-35492 - HIGH -  cairo: libreoffice slideshow aborts with stack smashing in cairo's composite_boxes
CVE-2020-8231 - HIGH -  curl: Expired pointer dereference via multi API with CURLOPT_CONNECT_ONLY option set
CVE-2020-8177 - HIGH -  curl: Incorrect argument check can allow remote servers to overwrite local files
CVE-2020-8286 - HIGH -  curl: Inferior OCSP verification
CVE-2020-8285 - HIGH -  curl: Malicious FTP server can trigger stack overflow when CURLOPT_CHUNK_BGN_FUNCTION is used
CVE-2021-22946 - HIGH -  curl: Requirement to use TLS not properly enforced for IMAP, POP3, and FTP protocols
CVE-2022-24407 - HIGH -  cyrus-sasl: failure to properly escape SQL input allows an attacker to execute arbitrary SQL commands
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2021-46143 - HIGH -  expat: Integer overflow in doProlog in xmlparse.c
CVE-2022-22825 - HIGH -  expat: Integer overflow in lookup in xmlparse.c
CVE-2022-22826 - HIGH -  expat: Integer overflow in nextScaffoldPart in xmlparse.c
CVE-2022-22827 - HIGH -  expat: Integer overflow in storeAtts in xmlparse.c
CVE-2021-45960 - HIGH -  expat: Large number of prefixed XML attributes on a single tag can crash libexpat
CVE-2022-25314 - HIGH -  expat: integer overflow in copyString()
CVE-2019-15847 - HIGH -  gcc: POWER9 "DARN" RNG intrinsic produces repeated output
CVE-2018-12886 - HIGH -  gcc: spilling of stack protection address in cfgexpand.c and function.c leads to stack-overflow protection bypass
CVE-2018-11489 - HIGH -  giflib: heap-based buffer overflow in DGifDecompressLine function in dgif_lib.c
CVE-2018-11490 - HIGH -  giflib: heap-based buffer overflow in DGifDecompressLine function in dgif_lib.c
CVE-2020-23922 - HIGH -  giflib: out-of-bounds read in DumpScreen2RGB() in gif2rgb.c in gif2rgb tool
CVE-2022-28506 - HIGH -  giflib:Buffer overflow in function DumpScreen2RGB()
CVE-2021-27218 - HIGH -  glib: integer overflow in g_byte_array_new_take function when called with a buffer of 4GB or more on a 64-bit platform
CVE-2021-27219 - HIGH -  glib: integer overflow in g_bytes_new function on 64-bit platforms due to an implicit cast from 64 bits to 32 bits
CVE-2021-3326 - HIGH -  glibc: Assertion failure in ISO-2022-JP-3 gconv module related to combining characters
CVE-2021-3999 - HIGH -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2020-1751 - HIGH -  glibc: array overflow in backtrace functions for powerpc
CVE-2020-1752 - HIGH -  glibc: use-after-free in glob() function when expanding ~user
CVE-2021-43618 - HIGH -  gmp: Integer overflow and resultant buffer overflow via crafted input
CVE-2020-24659 - HIGH -  gnutls: Heap buffer overflow in handshake with no_renegotiation alert sent
CVE-2022-1271 - HIGH -  gzip: arbitrary-file-write vulnerability
CVE-2021-36222 - HIGH -  krb5: Sending a request containing PA-ENCRYPTED-CHALLENGE padata element without using FAST could result in NULL dereference in KDC which leads to DoS
CVE-2020-28196 - HIGH -  krb5: unbounded recursion via an ASN.1-encoded Kerberos message in lib/krb5/asn.1/asn1_encode.c may lead to DoS
CVE-2020-8169 - HIGH -  libcurl: partial password leak over DNS on HTTP redirect
CVE-2021-33560 - HIGH -  libgcrypt: mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm
CVE-2020-13790 - HIGH -  libjpeg-turbo: heap-based buffer over-read in get_rgb_row() in rdppm.c
CVE-2019-13115 - HIGH -  libssh2: integer overflow in kex_method_diffie_hellman_group_exchange_sha256_key_exchange in kex.c leads to out-of-bounds write
CVE-2020-35524 - HIGH -  libtiff: Heap-based buffer overflow in TIFF2PDF tool
CVE-2020-35523 - HIGH -  libtiff: Integer overflow in tif_getimage.c
CVE-2022-0891 - HIGH -  libtiff: heap buffer overflow in extractImageSection
CVE-2020-36332 - HIGH -  libwebp: excessive memory allocation when reading a file
CVE-2021-3517 - HIGH -  libxml2: Heap-based buffer overflow in xmlEncodeEntitiesInternal() in entities.c
CVE-2017-16932 - HIGH -  libxml2: Infinite recursion in parameter entities
CVE-2021-3516 - HIGH -  libxml2: Use-after-free in xmlEncodeEntitiesInternal() in entities.c
CVE-2021-3518 - HIGH -  libxml2: Use-after-free in xmlXIncludeDoProcess() in xinclude.c
CVE-2022-23308 - HIGH -  libxml2: Use-after-free of ID and IDREF attributes
CVE-2020-7595 - HIGH -  libxml2: infinite loop in xmlStringLenDecodeEntities in some end-of-file situations
CVE-2019-19956 - HIGH -  libxml2: memory leak in xmlParseBalancedChunkMemoryRecover in parser.c
CVE-2019-20388 - HIGH -  libxml2: memory leak in xmlSchemaPreRun in xmlschemas.c
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
CVE-2021-20305 - HIGH -  nettle: Out of bounds memory access in signature verification
CVE-2021-3580 - HIGH -  nettle: Remote crash in RSA decryption via manipulated ciphertext
