CVE-2016-2141 - CRITICAL -  JGroups: Authorization bypass
CVE-2019-10158 - CRITICAL -  infinispan: Session fixation protection broken for Spring Session integration
CVE-2019-10212 - CRITICAL -  undertow: DEBUG log for io.undertow.request.security if enabled leaks credentials to log files
CVE-2019-3888 - CRITICAL -  undertow: leak credentials to log files UndertowLogger.REQUEST_LOGGER.undertowRequestFailed
CVE-2014-3530 - HIGH -  PicketLink: XXE via insecure DocumentBuilderFactory usage
CVE-2022-25647 - HIGH -  com.google.code.gson-gson: Deserialization of Untrusted Data in com.google.code.gson-gson
CVE-2019-14869 - HIGH -  ghostscript: -dSAFER escape in .charkeys (701841)
CVE-2022-23596 - HIGH -  junrar: A carefully crafted RAR archive can trigger an infinite loop while extracting
CVE-2019-16869 - HIGH -  netty: HTTP request smuggling by mishandled whitespace before the colon in HTTP headers
CVE-2018-17187 - HIGH -  qpid-proton-java: Hostname verification mode not implemented in transport TLS wrapper
CVE-2020-1695 - HIGH -  resteasy: Improper validation of response header in MediaTypeHeaderDelegate.java class
CVE-2017-18640 - HIGH -  snakeyaml: Billion laughs attack via alias feature
CVE-2018-11796 - HIGH -  tika: Incomplete fix allows for XML entity expansion resulting in denial of service
CVE-2018-1048 - HIGH -  undertow: ALLOW_ENCODED_SLASH option not taken into account in the AjpRequestParser
CVE-2019-10184 - HIGH -  undertow: Information leak in requests for directories without trailing slashes
CVE-2017-12165 - HIGH -  undertow: improper whitespace parsing leading to potential HTTP request smuggling
CVE-2019-14888 - HIGH -  undertow: possible Denial Of Service (DOS) in Undertow HTTP server listening on HTTPS
CVE-2020-1757 - HIGH -  undertow: servletPath is normalized incorrectly leading to dangerous application mapping which could result in security bypass
CVE-2021-39139 - HIGH -  xstream: Arbitrary code execution via unsafe deserialization of Xalan xsltc.trax.TemplatesImpl
CVE-2021-39149 - HIGH -  xstream: Arbitrary code execution via unsafe deserialization of com.sun.corba.*
CVE-2021-39145 - HIGH -  xstream: Arbitrary code execution via unsafe deserialization of com.sun.jndi.ldap.LdapBindingEnumeration
CVE-2021-39146 - HIGH -  xstream: Arbitrary code execution via unsafe deserialization of javax.swing.UIDefaults$ProxyLazyValue
CVE-2019-13132 - HIGH -  zeromq: stack-overflow on any server protected by encryption/authentication
CVE-2019-7396 - LOW -  ImageMagick: Memory leak in the ReadSIXELImage function in coders/sixel.c
CVE-2019-7398 - LOW -  ImageMagick: Memory leak in the WriteDIBImage function in coders/dib.c
CVE-2019-7397 - LOW -  ImageMagick: Memory leak in the WritePDFImage function in coders/pdf.c
CVE-2019-13135 - LOW -  ImageMagick: a "use of uninitialized value" vulnerability in the function ReadCUTImage leading to a crash and DoS
CVE-2019-13137 - LOW -  ImageMagick: a memory leak vulnerability in the function ReadPSImage in coders/ps.c
CVE-2019-11472 - LOW -  ImageMagick: denial of service in ReadXWDImage in coders/xwd.c in the XWD image parsing component
CVE-2019-11470 - LOW -  ImageMagick: denial of service in cineon parsing component
CVE-2019-14981 - LOW -  ImageMagick: division by zero in MeanShiftImage in MagickCore/feature.c
CVE-2019-13297 - LOW -  ImageMagick: heap-based buffer over-read at MagickCore/threshold.c in AdaptiveThresholdImage because a height of zero is mishandled
CVE-2019-13295 - LOW -  ImageMagick: heap-based buffer over-read at MagickCore/threshold.c in AdaptiveThresholdImage because a width of zero is mishandled
CVE-2019-15141 - LOW -  ImageMagick: heap-based buffer overflow in WriteTIFFImage in coders/tiff.c
CVE-2018-20467 - LOW -  ImageMagick: infinite loop in coders/bmp.c
CVE-2019-16711 - LOW -  ImageMagick: memory leak in Huffman2DEncodeImage in coders/ps2.c
CVE-2019-16712 - LOW -  ImageMagick: memory leak in Huffman2DEncodeImage in coders/ps3.c
CVE-2018-18016 - LOW -  ImageMagick: memory leak in WritePCXImage in coders/pcx.c
