CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2022-24772 - HIGH -  node-forge: Signature verification failing to check tailing garbage bytes can lead to signature forgery
CVE-2022-24771 - HIGH -  node-forge: Signature verification leniency in checking `digestAlgorithm` structure can lead to signature forgery
CVE-2021-3749 - HIGH -  nodejs-axios: Regular expression denial of service in trim function
CVE-2021-23337 - HIGH -  nodejs-lodash: command injection via template
CVE-2020-8203 - HIGH -  nodejs-lodash: prototype pollution in zipObjectDeep function
CVE-2019-18276 - LOW -  bash: when effective UID is not equal to its real UID the saved UID is not dropped
CVE-2016-2781 - LOW -  coreutils: Non-privileged session can escape to the parent session in chroot
CVE-2022-27781 - LOW -  curl: CERTINFO never-ending busy-loop
CVE-2022-27776 - LOW -  curl: auth/cookie leak on redirect
CVE-2022-27775 - LOW -  curl: bad local IPv6 connection reuse
CVE-2021-43618 - LOW -  gmp: Integer overflow and resultant buffer overflow via crafted input
CVE-2021-36087 - LOW -  libsepol: heap-based buffer overflow in ebitmap_match_any()
CVE-2021-36084 - LOW -  libsepol: use-after-free in __cil_verify_classperms()
CVE-2021-36085 - LOW -  libsepol: use-after-free in __cil_verify_classperms()
CVE-2021-36086 - LOW -  libsepol: use-after-free in cil_reset_classpermission()
CVE-2020-25648 - LOW -  nss: TLS 1.3 CCS flood remote DoS Attack
CVE-2020-9849 - LOW -  null
CVE-2020-9991 - LOW -  null
CVE-2019-20838 - LOW -  pcre: Buffer over-read in JIT when UTF is disabled and \X or \R has fixed quantifier greater than 1
CVE-2020-14155 - LOW -  pcre: Integer overflow when parsing callout numeric arguments
CVE-2017-11164 - LOW -  pcre: OP_KETRMAX feature in the match function in pcre_exec.c
CVE-2021-3671 - LOW -  samba: Null pointer dereference on missing sname in TGS-REQ
CVE-2013-4235 - LOW -  shadow-utils: TOCTOU race conditions by copying and removing directory trees
CVE-2022-22576 - MEDIUM -  curl: OAUTH2 bearer bypass in connection re-use
CVE-2022-27782 - MEDIUM -  curl: TLS and SSH connection too eager reuse
CVE-2022-27774 - MEDIUM -  curl: credential leak on redirect
CVE-2022-1271 - MEDIUM -  gzip: arbitrary-file-write vulnerability
CVE-2021-37750 - MEDIUM -  krb5: NULL pointer dereference in process_tgs_req() in kdc/do_tgs_req.c via a FAST inner body that lacks server field
CVE-2021-36222 - MEDIUM -  krb5: Sending a request containing PA-ENCRYPTED-CHALLENGE padata element without using FAST could result in NULL dereference in KDC which leads to DoS
CVE-2022-24773 - MEDIUM -  node-forge: Signature verification leniency in checking `DigestInfo` structure
CVE-2020-28500 - MEDIUM -  nodejs-lodash: ReDoS via the toNumber, trim and trimEnd functions
CVE-2020-9794 - MEDIUM -  null
CVE-2022-29155 - MEDIUM -  openldap: OpenLDAP SQL injection
CVE-2020-16156 - MEDIUM -  perl-CPAN: Bypass of verification of signatures in CHECKSUMS files
CVE-2018-25032 - MEDIUM -  zlib: A flaw found in zlib when compressing (not decompressing) certain inputs
