CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2021-35942 - CRITICAL -  glibc: Arbitrary read in wordexp()
CVE-2022-23219 - CRITICAL -  glibc: Stack-based buffer overflow in sunrpc clnt_create via a long pathname
CVE-2022-23218 - CRITICAL -  glibc: Stack-based buffer overflow in svcunix_create via long pathnames
CVE-2021-33574 - CRITICAL -  glibc: mq_notify does not handle separately allocated thread attributes
CVE-2019-8457 - CRITICAL -  sqlite: heap out-of-bound read in function rtreenode()
CVE-2022-28356 - HIGH -  CVE-2022-28356 kernel: refcount leak in llc_ui_bind and llc_ui_autobind
CVE-2022-31042 - HIGH -  Failure to strip the Cookie header on change in host or HTTP downgrade
CVE-2022-31043 - HIGH -  Fix failure to strip Authorization header on HTTP downgrade
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2022-1353 - HIGH -  Kernel: A kernel-info-leak issue in pfkey_register
CVE-2022-22576 - HIGH -  curl: OAUTH2 bearer bypass in connection re-use
CVE-2021-22946 - HIGH -  curl: Requirement to use TLS not properly enforced for IMAP, POP3, and FTP protocols
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2019-15847 - HIGH -  gcc: POWER9 "DARN" RNG intrinsic produces repeated output
CVE-2018-12886 - HIGH -  gcc: spilling of stack protection address in cfgexpand.c and function.c leads to stack-overflow protection bypass
CVE-2021-3326 - HIGH -  glibc: Assertion failure in ISO-2022-JP-3 gconv module related to combining characters
CVE-2021-3999 - HIGH -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2020-1751 - HIGH -  glibc: array overflow in backtrace functions for powerpc
CVE-2020-1752 - HIGH -  glibc: use-after-free in glob() function when expanding ~user
CVE-2022-1247 - HIGH -  kernel: A race condition bug in rose_connect()
CVE-2022-1011 - HIGH -  kernel: FUSE allows UAF reads of write() buffers, allowing theft of (partial) /etc/shadow hashes
CVE-2022-29581 - HIGH -  kernel: Improper Update of Reference Count vulnerability in net/sched
CVE-2020-12362 - HIGH -  kernel: Integer overflow in Intel(R) Graphics Drivers
CVE-2022-1012 - HIGH -  kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak
CVE-2022-1679 - HIGH -  kernel: Use-After-Free in ath9k_htc_probe_device() could cause an escalation of privileges
CVE-2022-1419 - HIGH -  kernel: a concurrency use-after-free in vgem_gem_dumb_create
CVE-2022-28390 - HIGH -  kernel: a double free in ems_usb_start_xmit in drivers/net/can/usb/ems_usb.c
CVE-2022-28389 - HIGH -  kernel: a double free in mcba_usb_start_xmit in drivers/net/can/usb/mcba_usb.c
CVE-2022-28388 - HIGH -  kernel: a double free in usb_8dev_start_xmit in drivers/net/can/usb/usb_8dev.c
CVE-2022-1966 - HIGH -  kernel: a use-after-free write in the netfilter subsystem can lead to privilege escalation to root
CVE-2022-27666 - HIGH -  kernel: buffer overflow in IPsec ESP transformation code
CVE-2021-38207 - HIGH -  kernel: buffer overflow in drivers/net/ethernet/xilinx/ll_temac_main.c by sending heavy network traffic for about ten minutes
CVE-2021-4197 - HIGH -  kernel: cgroup: Use open-time creds and namespace for migration perm checks
CVE-2021-3864 - HIGH -  kernel: descendant's dumpable setting with certain SUID binaries
CVE-2021-3847 - HIGH -  kernel: low-privileged user privileges escalation
CVE-2013-7445 - HIGH -  kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects
CVE-2022-30594 - HIGH -  kernel: mishandled seccomp permissions
CVE-2019-19449 - HIGH -  kernel: mounting a crafted f2fs filesystem image can lead to slab-out-of-bounds read access in f2fs_build_segment_manager in fs/f2fs/segment.c
CVE-2019-19814 - HIGH -  kernel: out-of-bounds write in __remove_dirty_segment in fs/f2fs/segment.c
CVE-2019-19378 - HIGH -  kernel: out-of-bounds write in index_rbio_pages in fs/btrfs/raid56.c
CVE-2021-3493 - HIGH -  kernel: overlayfs file system caps privilege escalation
CVE-2022-26490 - HIGH -  kernel: potential buffer overflows in EVT_TRANSACTION in st21nfca
CVE-2022-1048 - HIGH -  kernel: race condition in snd_pcm_hw_free leading to use-after-free
CVE-2020-36385 - HIGH -  kernel: use-after-free in drivers/infiniband/core/ucma.c ctx use-after-free
CVE-2021-33560 - HIGH -  libgcrypt: mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm
CVE-2019-13115 - HIGH -  libssh2: integer overflow in kex_method_diffie_hellman_group_exchange_sha256_key_exchange in kex.c leads to out-of-bounds write
CVE-2017-16932 - HIGH -  libxml2: Infinite recursion in parameter entities
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
CVE-2020-11080 - HIGH -  nghttp2: overly large SETTINGS frames can lead to DoS
CVE-2020-16156 - HIGH -  perl-CPAN: Bypass of verification of signatures in CHECKSUMS files
CVE-2019-19603 - HIGH -  sqlite: mishandling of certain SELECT statements with non-existent VIEW can lead to DoS
CVE-2019-3843 - HIGH -  systemd: services with DynamicUser can create SUID/SGID binaries
CVE-2019-3844 - HIGH -  systemd: services with DynamicUser can get new privileges and create SGID binaries
CVE-2007-6755 - LOW -  Dual_EC_DRBG: weak pseudo random number generator
CVE-2011-3389 - LOW -  HTTPS: block-wise chosen-plaintext attack against SSL/TLS (BEAST)
CVE-2015-2877 - LOW -  Kernel: Cross-VM ASL INtrospection (CAIN)
CVE-2019-18276 - LOW -  bash: when effective UID is not equal to its real UID the saved UID is not dropped
CVE-2021-3487 - LOW -  binutils: Excessive debug section size can cause excessive memory consumption in bfd's dwarf2.c read_section()
CVE-2021-20284 - LOW -  binutils: Heap-based buffer overflow in _bfd_elf_slurp_secondary_reloc_section in elf.c
CVE-2018-19931 - LOW -  binutils: Heap-based buffer overflow in bfd_elf32_swap_phdr_in function resulting in a denial of service
CVE-2020-35448 - LOW -  binutils: Heap-based buffer overflow in bfd_getl_signed_32() in libbfd.c because sh_entsize is not validated in _bfd_elf_slurp_secondary_reloc_section() in elf.c
CVE-2019-1010204 - LOW -  binutils: Improper Input Validation, Signed/Unsigned Comparison, Out-of-bounds Read in gold/fileread.cc and elfcpp/elfcpp_file.h leads to denial of service
CVE-2018-19932 - LOW -  binutils: Integer overflow due to the IS_CONTAINED_BY_LMA macro resulting in a denial of service
CVE-2018-18483 - LOW -  binutils: Integer overflow in cplus-dem.c:get_count() allows for denial of service
CVE-2018-20671 - LOW -  binutils: Integer overflow in load_specific_debug_section function
CVE-2017-13716 - LOW -  binutils: Memory leak with the C++ symbol demangler routine in libiberty
CVE-2018-18606 - LOW -  binutils: NULL pointer dereference in _bfd_add_merge_section in merge_strings function in merge.c
CVE-2020-35507 - LOW -  binutils: NULL pointer dereference in bfd_pef_parse_function_stubs function in bfd/pef.c
CVE-2020-35495 - LOW -  binutils: NULL pointer dereference in bfd_pef_parse_symbols function in bfd/pef.c
CVE-2020-35496 - LOW -  binutils: NULL pointer dereference in bfd_pef_scan_start_address function in bfd/pef.c
CVE-2018-20651 - LOW -  binutils: NULL pointer dereference in elf_link_add_object_symbols function resulting in a denial of service
CVE-2018-18607 - LOW -  binutils: NULL pointer dereference in elf_link_input_bfd in elflink.c
CVE-2018-17794 - LOW -  binutils: NULL pointer dereference in libiberty/cplus-dem.c:work_stuff_copy_to_from() via crafted input
CVE-2018-12697 - LOW -  binutils: NULL pointer dereference in work_stuff_copy_to_from in cplus-dem.c.
CVE-2020-16599 - LOW -  binutils: Null Pointer Dereference in _bfd_elf_get_symbol_version_string could result in DoS
CVE-2020-16593 - LOW -  binutils: Null Pointer Dereference in scan_unit_for_symbols could result in DoS
CVE-2021-20197 - LOW -  binutils: Race window allows users to own arbitrary files
CVE-2018-18700 - LOW -  binutils: Recursive Stack Overflow within function d_name, d_encoding, and d_local_name in cp-demangle.c
CVE-2018-9138 - LOW -  binutils: Stack Exhaustion in the the C++ demangling functions provided by libiberty
CVE-2018-17985 - LOW -  binutils: Stack consumption problem caused by the cplus_demangle_type
CVE-2018-18484 - LOW -  binutils: Stack exhaustion in cp-demangle.c allows for denial of service
CVE-2018-9996 - LOW -  binutils: Stack-overflow in libiberty/cplus-dem.c causes crash
CVE-2018-12934 - LOW -  binutils: Uncontrolled Resource Consumption in remember_Ktype in cplus-dem.c
CVE-2018-20623 - LOW -  binutils: Use-after-free in the error function
CVE-2019-17450 - LOW -  binutils: denial of service via crafted ELF file
CVE-2020-16590 - LOW -  binutils: double free vulnerability in process_symbol_table could result in DoS
CVE-2019-9073 - LOW -  binutils: excessive memory allocation in function _bfd_elf_slurp_version_tables in elf.c
CVE-2018-12698 - LOW -  binutils: excessive memory consumption in demangle_template in cplus-dem.c
CVE-2018-17360 - LOW -  binutils: heap-based buffer over-read in bfd_getl32 in libbfd.c
CVE-2019-9070 - LOW -  binutils: heap-based buffer over-read in function d_expression_1 in cp-demangle.c
CVE-2018-18605 - LOW -  binutils: heap-based buffer over-read in sec_merge_hash_lookup in merge.c
CVE-2021-3549 - LOW -  binutils: heap-based buffer overflow in avr_elf32_load_records_from_section() via large section parameter
CVE-2020-35493 - LOW -  binutils: heap-based buffer overflow in bfd_pef_parse_function_stubs function in bfd/pef.c via crafted PEF file
CVE-2018-12699 - LOW -  binutils: heap-based buffer overflow in finish_stab in stabs.c
CVE-2019-9075 - LOW -  binutils: heap-based buffer overflow in function _bfd_archive_64_bit_slurp_armap in archive64.c
CVE-2019-9077 - LOW -  binutils: heap-based buffer overflow in function process_mips_specific in readelf.c
CVE-2018-18701 - LOW -  binutils: infinite recursion in next_is_type_qual and cplus_demangle_type functions in cp-demangle.c
CVE-2019-14444 - LOW -  binutils: integer overflow in function apply_relocation in readelf.c
CVE-2019-14250 - LOW -  binutils: integer overflow in simple-object-elf.c leads to a heap-based buffer overflow
CVE-2019-17451 - LOW -  binutils: integer overflow leading to a SEGV in _bfd_dwarf2_find_nearest_line in dwarf2.c
CVE-2018-1000876 - LOW -  binutils: integer overflow leads to heap-based buffer overflow in objdump
CVE-2018-17358 - LOW -  binutils: invalid memory access in _bfd_stab_section_find_nearest_line in syms.c
CVE-2018-17359 - LOW -  binutils: invalid memory access in bfd_zalloc in opncls.c
CVE-2018-18309 - LOW -  binutils: invalid memory address dereference in read_reloc in reloc.c
CVE-2020-16591 - LOW -  binutils: invalid read in process_symbol_table could result in DoS
CVE-2018-20002 - LOW -  binutils: memory leak in _bfd_generic_read_minisymbols function in syms.c
CVE-2019-9074 - LOW -  binutils: out-of-bound read in function bfd_getl32 in libbfd.c
CVE-2019-12972 - LOW -  binutils: out-of-bounds read in setup_group in bfd/elf.c
CVE-2021-45078 - LOW -  binutils: out-of-bounds write in stab_xcoff_builtin_type() in stabs.c
CVE-2021-20294 - LOW -  binutils: stack buffer overflow WRITE may lead to a DoS via a crafted ELF
CVE-2019-9071 - LOW -  binutils: stack consumption in function d_count_templates_scopes in cp-demangle.c
CVE-2021-3530 - LOW -  binutils: stack memory exhaustion in demangle_path() in rust-demangle.c
CVE-2020-35494 - LOW -  binutils: usage of unitialized heap in tic4x_print_cond function in opcodes/tic4x-dis.c
CVE-2020-16592 - LOW -  binutils: use-after-free in bfd_hash_lookup could result in DoS
CVE-2016-2781 - LOW -  coreutils: Non-privileged session can escape to the parent session in chroot
CVE-2017-18018 - LOW -  coreutils: race condition vulnerability in chown and chgrp
CVE-2021-22924 - LOW -  curl: Bad connection reuse due to flawed path name checks
CVE-2021-22922 - LOW -  curl: Content not matching hash in Metalink is not being discarded
CVE-2021-22923 - LOW -  curl: Metalink download sends credentials
CVE-2021-22898 - LOW -  curl: TELNET stack contents disclosure
CVE-2021-46195 - LOW -  gcc: uncontrolled recursion in libiberty/rust-demangle.c
CVE-2019-1010180 - LOW -  gdb: buffer overflow while opening an ELF for debugging leads to Dos, information dislosure and code execution
CVE-2012-0039 - LOW -  glib2: hash table collisions CPU usage DoS
CVE-2019-1010024 - LOW -  glibc: ASLR bypass using cache of thread stack and heap
CVE-2019-19126 - LOW -  glibc: LD_PREFER_MAP_32BIT_EXEC not ignored in setuid binaries
CVE-2021-27645 - LOW -  glibc: Use-after-free in addgetnetgrentX function in netgroupcache.c
CVE-2010-4756 - LOW -  glibc: glob implementation can cause excessive CPU and memory consumption due to crafted glob expressions
CVE-2016-10228 - LOW -  glibc: iconv program can hang when invoked with the -c option
CVE-2019-1010025 - LOW -  glibc: information disclosure of heap addresses of pthread_created thread
CVE-2019-1010023 - LOW -  glibc: running ldd on malicious ELF leads to code execution because of wrong size computation
CVE-2020-6096 - LOW -  glibc: signed comparison vulnerability in the ARMv7 memcpy function
CVE-2019-1010022 - LOW -  glibc: stack guard protection bypass
CVE-2018-20796 - LOW -  glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
CVE-2019-9192 - LOW -  glibc: uncontrolled recursion in function check_dst_limits_calc_pos_1 in posix/regexec.c
CVE-2019-14855 - LOW -  gnupg2: OpenPGP Key Certification Forgeries with SHA-1
CVE-2019-12379 - LOW -  kernel:  memory leak in con_insert_unipair in drivers/tty/vt/consolemap.c
CVE-2019-19064 - LOW -  kernel: A memory leak in the fsl_lpspi_probe() function in drivers/spi/spi-fsl-lpspi.c allows for a DoS
CVE-2019-19070 - LOW -  kernel: A memory leak in the spi_gpio_probe() function in drivers/spi/spi-gpio.c allows for a DoS
CVE-2017-13694 - LOW -  kernel: ACPI node and node_ext cache leak
CVE-2017-13693 - LOW -  kernel: ACPI operand cache leak in dsutils.c
CVE-2022-25265 - LOW -  kernel: Executable Space Protection Bypass
CVE-2014-9900 - LOW -  kernel: Info leak in uninitialized structure ethtool_wolinfo in ethtool_get_wol()
CVE-2017-0630 - LOW -  kernel: Information disclosure vulnerability in kernel trace subsystem
CVE-2018-17977 - LOW -  kernel: Mishandled interactions among XFRM Netlink messages, IPPROTO_AH packets, and IPPROTO_IP packets resulting in a denial of service
CVE-2018-12928 - LOW -  kernel: NULL pointer dereference in hfs_ext_read_extent in hfs.ko
CVE-2008-4609 - LOW -  kernel: TCP protocol vulnerabilities from Outpost24
CVE-2022-1734 - LOW -  kernel: Use-After-Free in NFC driver in nfcmrvl_nci_unregister_dev when simulating NFC device from user-space
CVE-2020-35501 - LOW -  kernel: audit not logging access to syscall open_by_handle_at for users with CAP_DAC_READ_SEARCH capability
CVE-2012-4542 - LOW -  kernel: block: default SCSI command filter does not accomodate commands overlap across device classes
CVE-2019-12456 - LOW -  kernel: double fetch in the MPT3COMMAND case in _ctl_ioctl_main in drivers/scsi/mpt3sas/mpt3sas_ctl.c
CVE-2020-11725 - LOW -  kernel: improper handling of private_size*count multiplication due to count=info->owner typo
CVE-2010-4563 - LOW -  kernel: ipv6: sniffer detection
CVE-2019-12380 - LOW -  kernel: memory allocation failure in the efi subsystem leads to denial of service
CVE-2019-19083 - LOW -  kernel: memory leaks in *clock_source_create() functions under drivers/gpu/drm/amd/display/dc leads to DoS
CVE-2008-2544 - LOW -  kernel: mounting proc readonly on a different mount point silently mounts it rw if the /proc mount is rw
CVE-2019-16229 - LOW -  kernel: null pointer dereference in drivers/gpu/drm/amd/amdkfd/kfd_interrupt.c
CVE-2019-16230 - LOW -  kernel: null pointer dereference in drivers/gpu/drm/radeon/radeon_display.c
CVE-2019-16234 - LOW -  kernel: null pointer dereference in drivers/net/wireless/intel/iwlwifi/pcie/trans.c
CVE-2019-16233 - LOW -  kernel: null pointer dereference in drivers/scsi/qla2xxx/qla_os.c
CVE-2019-12615 - LOW -  kernel: null pointer dereference in get_vdev_port_node_info in arch /sparc/kernel/mdesc.c
CVE-2019-12455 - LOW -  kernel: null pointer dereference in sunxi_divs_clk_setup in drivers/clk/sunxi/clk-sunxi.c causing denial of service
CVE-2019-16231 - LOW -  kernel: null-pointer dereference in drivers/net/fjes/fjes_main.c
CVE-2019-16232 - LOW -  kernel: null-pointer dereference in drivers/net/wireless/marvell/libertas/if_sdio.c
CVE-2022-1516 - LOW -  kernel: null-ptr-deref caused by x25_disconnect
CVE-2021-32078 - LOW -  kernel: out-of-bounds read in arch/arm/mach-footbridge/personal-pci.c due to improper input validation
CVE-2019-11191 - LOW -  kernel: race condition in load_aout_binary() allows local users to bypass ASLR on setuid a.out programs
CVE-2007-3719 - LOW -  kernel: secretly Monopolizing the CPU Without Superuser Privileges
CVE-2019-12378 - LOW -  kernel: unchecked kmalloc of new_ra in ip6_ra_control leads to denial of service
CVE-2019-12381 - LOW -  kernel: unchecked kmalloc of new_ra in ip_ra_control leads to denial of service
CVE-2019-12382 - LOW -  kernel: unchecked kstrdup of fwstr in drm_load_edid_firmware leads to denial of service
CVE-2021-0929 - LOW -  kernel: use-after-free in ion_dma_buf_end_cpu_access and related functions in ion.c
CVE-2020-27820 - LOW -  kernel: use-after-free in nouveau kernel module
CVE-2010-5321 - LOW -  kernel: v4l: videobuf: hotfix a bug on multiple calls to mmap()
CVE-2016-8660 - LOW -  kernel: xfs: local DoS due to a page lock order bug in the XFS seek hole/data implementation
CVE-2018-5709 - LOW -  krb5: integer overflow in dbentry->n_key_data in kadmin/dbutil/dump.c
CVE-2018-6829 - LOW -  libgcrypt: ElGamal implementation doesn't have semantic security due to incorrectly encoded plaintexts possibly allowing to obtain sensitive information
CVE-2018-20673 - LOW -  libiberty: Integer overflow in demangle_template() function
CVE-2018-20712 - LOW -  libiberty: heap-based buffer over-read in d_expression_1
CVE-2017-15232 - LOW -  libjpeg-turbo: NULL pointer dereference in jdpostct.c and jquant1.c
CVE-2020-17541 - LOW -  libjpeg-turbo: Stack-based buffer overflow in the "transform" component
