CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2021-22945 - CRITICAL -  curl: use-after-free and double-free in MQTT sending
CVE-2022-21724 - CRITICAL -  jdbc-postgresql: Unchecked Class Instantiation when providing Plugin Classes
CVE-2019-17638 - CRITICAL -  jetty: double release of resource can lead to information disclosure
CVE-2021-20195 - CRITICAL -  keycloak: The Account console allows stored self-XSS via impersonation mechanism
CVE-2020-1731 - CRITICAL -  keycloak: generates same admin password while installation when deployed on same openshift namespace
CVE-2022-23305 - CRITICAL -  log4j: SQL injection in Log4j 1.x when application is configured to use JDBCAppender
CVE-2019-17571 - CRITICAL -  log4j: deserialization of untrusted data in SocketServer
CVE-2022-29155 - CRITICAL -  openldap: OpenLDAP SQL injection
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2019-8457 - CRITICAL -  sqlite: heap out-of-bound read in function rtreenode()
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2018-1294 - HIGH -  Improper Input Validation
CVE-2017-9801 - HIGH -  SMTP header injection vulnerabilty
CVE-2021-35516 - HIGH -  apache-commons-compress: excessive memory allocation when reading a specially crafted 7Z archive
CVE-2021-35517 - HIGH -  apache-commons-compress: excessive memory allocation when reading a specially crafted TAR archive
CVE-2021-36090 - HIGH -  apache-commons-compress: excessive memory allocation when reading a specially crafted ZIP archive
CVE-2021-35515 - HIGH -  apache-commons-compress: infinite loop when reading a specially crafted 7Z archive
CVE-2020-11987 - HIGH -  batik: SSRF due to improper input validation by the NodePickerPanel
CVE-2022-25647 - HIGH -  com.google.code.gson-gson: Deserialization of Untrusted Data in com.google.code.gson-gson
CVE-2021-22946 - HIGH -  curl: Requirement to use TLS not properly enforced for IMAP, POP3, and FTP protocols
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2021-3999 - HIGH -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2020-25649 - HIGH -  jackson-databind: FasterXML DOMDeserializer insecure entity expansion is vulnerable to XML external entity (XXE)
CVE-2020-36518 - HIGH -  jackson-databind: denial of service via a large depth of nested objects
CVE-2021-28165 - HIGH -  jetty: Resource exhaustion when receiving an invalid large TLS frame
CVE-2020-27216 - HIGH -  jetty: local temporary directory hijacking vulnerability
CVE-2019-10199 - HIGH -  keycloak: CSRF check missing in My Resources functionality in the Account Console
CVE-2022-1466 - HIGH -  keycloak: Improper authorization for master realm
