CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2019-10744 - CRITICAL -  nodejs-lodash: prototype pollution in defaultsDeep function leading to modifying properties
CVE-2019-10768 - HIGH -  AngularJS: Prototype pollution in merge function could result in code injection
CVE-2020-7753 - HIGH -  Regular Expression Denial of Service in trim
CVE-2022-24407 - HIGH -  cyrus-sasl: failure to properly escape SQL input allows an attacker to execute arbitrary SQL commands
CVE-2022-25315 - HIGH -  expat: Integer overflow in storeRawNames()
CVE-2022-25235 - HIGH -  expat: Malformed 2- and 3-byte UTF-8 sequences can lead to arbitrary code execution
CVE-2022-25236 - HIGH -  expat: Namespace-separator characters in "xmlns[:prefix]" attribute values can lead to arbitrary code execution
CVE-2022-0155 - HIGH -  follow-redirects: Exposure of Private Personal Information to an Unauthorized Actor
CVE-2022-0235 - HIGH -  node-fetch: exposure of sensitive information to an unauthorized actor
CVE-2021-3807 - HIGH -  nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes
CVE-2021-3749 - HIGH -  nodejs-axios: Regular expression denial of service in trim function
CVE-2020-28168 - HIGH -  nodejs-axios: allows an attacker to bypass a proxy by providing a URL that responds with a redirect to a restricted host or IP address
CVE-2020-28469 - HIGH -  nodejs-glob-parent: Regular expression denial of service
CVE-2021-23337 - HIGH -  nodejs-lodash: command injection via template
CVE-2020-8203 - HIGH -  nodejs-lodash: prototype pollution in zipObjectDeep function
CVE-2021-23440 - HIGH -  nodejs-set-value: type confusion allows bypass of CVE-2019-10747
CVE-2021-37713 - HIGH -  nodejs-tar: Arbitrary File Creation/Overwrite on Windows via insufficient relative path sanitization
CVE-2021-32804 - HIGH -  nodejs-tar: Insufficient absolute path sanitization allowing arbitrary file creation and overwrite
CVE-2021-32803 - HIGH -  nodejs-tar: Insufficient symlink protection allowing arbitrary file creation and overwrite
CVE-2021-37701 - HIGH -  nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite
CVE-2021-37712 - HIGH -  nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite
CVE-2020-7660 - HIGH -  npm-serialize-javascript: allows remote attackers to inject arbitrary code via the function deleteFunctions within index.js
CVE-2022-0778 - HIGH -  openssl: Infinite loop in BN_mod_sqrt() reachable when parsing certificates
CVE-2016-3191 - HIGH -  pcre: workspace overflow for (*ACCEPT) with deeply nested parentheses (8.39/13, 10.22/12)
CVE-2018-25032 - HIGH -  zlib: A flaw found in zlib when compressing (not decompressing) certain inputs
CVE-2014-9747 - LOW -  CVE-2014-9746 CVE-2014-9747 freetype: Use of uninitialized memory
CVE-2014-9746 - LOW -  CVE-2014-9747 freetype: Use of uninitialized memory
CVE-2018-9234 - LOW -  GnuPG: Unenforced configuration allows for apparently valid certifications actually signed by signing subkeys
CVE-2016-1938 - LOW -  Mozilla NSS: Errors in mp_div and mp_exptmod cryptographic functions
CVE-2019-18276 - LOW -  bash: when effective UID is not equal to its real UID the saved UID is not dropped
CVE-2016-6170 - LOW -  bind: Improper restriction of zone size limit
CVE-2017-9756 - LOW -  binutils: Address violation in aarch64_ext_ldst_reglist function when disassembling corrupt aarch64 binary
CVE-2017-17125 - LOW -  binutils: Buffer over-read in the _bfd_elf_get_symbol_version_string function
CVE-2017-15025 - LOW -  binutils: Divide-by-zero in decode_line_info
CVE-2017-14938 - LOW -  binutils: Excessive memory allocation in _bfd_elf_slurp_version_tables
CVE-2017-15996 - LOW -  binutils: Excessive memory allocation in elfcomm.c
CVE-2017-17122 - LOW -  binutils: Excessive memory allocation in the dump_relocs_in_section function
CVE-2017-9749 - LOW -  binutils: Global buffer over-read in *regs* macros when disassembling corrupt bfin binary
CVE-2017-9750 - LOW -  binutils: Global buffer over-read in opcodes/rx-decode.opc when disassembling a corrupt RX binary
CVE-2017-9742 - LOW -  binutils: Global buffer over-read in print_insn_score16 function while disassembling corrupt score binary
CVE-2017-9746 - LOW -  binutils: Heap buffer over-read in disassemble_bytes function when disassembling a corrupt binary
CVE-2017-14729 - LOW -  binutils: Heap buffer overflow in the *_get_synthetic_symtab functions
CVE-2017-17124 - LOW -  binutils: Heap buffer overflow in the _bfd_coff_read_string_table function
CVE-2017-9041 - LOW -  binutils: Heap buffer overflow in the process_mips_specific function
CVE-2017-15021 - LOW -  binutils: Heap-based buffer over-read in bfd_get_debug_link_info_1
CVE-2017-17080 - LOW -  binutils: Heap-based buffer over-read in bfd_getl32
CVE-2017-14130 - LOW -  binutils: Heap-based buffer over-read in the _bfd_elf_parse_attributes function
CVE-2017-14939 - LOW -  binutils: Heap-based buffer over-read in the decode_line_info
CVE-2017-14128 - LOW -  binutils: Heap-based buffer over-read in the decode_line_info function
CVE-2017-14129 - LOW -  binutils: Heap-based buffer over-read in the read_section function
