CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2016-8618 - CRITICAL -  curl: Double-free in curl_maprintf
CVE-2016-8619 - CRITICAL -  curl: Double-free in krb5 code
CVE-2018-1000007 - CRITICAL -  curl: HTTP authentication leak in redirects
CVE-2016-8622 - CRITICAL -  curl: URL unescape heap overflow via integer truncation
CVE-2016-7167 - CRITICAL -  curl: escape and unescape integer overflows
CVE-2015-9290 - CRITICAL -  freetype: buffer over-read in function T1_Get_Private_Dict in type1/t1parse.c
CVE-2017-5337 - CRITICAL -  gnutls: Heap read overflow in read-packet.c
CVE-2017-5336 - CRITICAL -  gnutls: Stack overflow in cdk_pk_get_keyid
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2019-5953 - CRITICAL -  wget: do_conversion() heap-based buffer overflow vulnerability
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2020-14382 - HIGH -  cryptsetup: Out-of-bounds write when validating segments
CVE-2018-6553 - HIGH -  cups: AppArmor cupsd Sandbox Bypass Due to Use of Hard Links
CVE-2017-18190 - HIGH -  cups: DNS rebinding attacks via incorrect whitelist
CVE-2018-4180 - HIGH -  cups: Local privilege escalation to root due to insecure environment variable handling
CVE-2020-3898 - HIGH -  cups: heap based buffer overflow in libcups's ppdFindOption() in ppd-mark.c
CVE-2019-8696 - HIGH -  cups: stack-buffer-overflow in libcups's asn1_get_packed function
CVE-2016-8615 - HIGH -  curl: Cookie injection for other servers
CVE-2016-8625 - HIGH -  curl: IDNA 2003 makes curl use wrong host
CVE-2016-7141 - HIGH -  curl: Incorrect reuse of client certificates
CVE-2016-8624 - HIGH -  curl: Invalid URL parsing with '#'
CVE-2016-8617 - HIGH -  curl: Out-of-bounds write via unchecked multiplication
CVE-2016-5420 - HIGH -  curl: Re-using connection with wrong client cert
CVE-2016-5421 - HIGH -  curl: Use of connection struct after free
CVE-2016-8623 - HIGH -  curl: Use-after-free via shared cookies
CVE-2016-8621 - HIGH -  curl: curl_getdate out-of-bounds read
CVE-2016-9586 - HIGH -  curl: printf floating point buffer overflow
CVE-2020-35512 - HIGH -  dbus: users with the same numeric UID could lead to use-after-free and undefined behaviour
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2017-9233 - HIGH -  expat: Inifinite loop due to invalid XML in external entity
CVE-2015-9381 - HIGH -  freetype: a heap-based buffer over-read in T1_Get_Private_Dict in type1/t1parse.c leading to crash
CVE-2016-6323 - HIGH -  glibc: Missing unwind info in __startcontext causes infinite loop in _Unwind_Backtrace
CVE-2016-3706 - HIGH -  glibc: stack (frame) overflow in getaddrinfo() when called with AF_INET, AF_INET6 (incomplete fix for CVE-2013-4458)
CVE-2020-29573 - HIGH -  glibc: stack-based buffer overflow if the input to any of the printf family of functions is an 80-bit long double with a non-canonical bit pattern
CVE-2017-7507 - HIGH -  gnutls: Crash upon receiving well-formed status_request extension
CVE-2017-5335 - HIGH -  gnutls: Out of memory while parsing crafted OpenPGP certificate
CVE-2017-7869 - HIGH -  gnutls: Out-of-bounds write related to the cdk_pkt_read function (GNUTLS-SA-2017-3)
CVE-2021-33813 - HIGH -  jdom: XXE allows attackers to cause a DoS via a crafted HTTP request
CVE-2015-8948 - HIGH -  libidn: Out-of-bounds read due to use of fgets with fixed-size buffer
CVE-2020-13790 - HIGH -  libjpeg-turbo: heap-based buffer over-read in get_rgb_row() in rdppm.c
CVE-2016-10087 - HIGH -  libpng: NULL pointer dereference in png_set_text_2()
CVE-2017-6891 - HIGH -  libtasn1: Stack-based buffer overflow in asn1_find_node()
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
CVE-2019-16869 - HIGH -  netty: HTTP request smuggling by mishandled whitespace before the colon in HTTP headers
CVE-2016-1951 - HIGH -  nspr: Memory allocation issue related to PR_*printf functions
CVE-2019-17007 - HIGH -  nss: Handling of Netscape Certificate Sequences in CERT_DecodeCertPackage() may crash with a NULL deref leading to DoS
CVE-2019-11745 - HIGH -  nss: Out-of-bounds write when passing an output buffer smaller than the block size to NSC_EncryptUpdate
CVE-2017-7805 - HIGH -  nss: Potential use-after-free in TLS 1.2 server when verifying client authentication
CVE-2021-36770 - HIGH -  perl-Encode: bug in local configuration loading allows arbitrary Perl code execution placed under the current working directory
CVE-2016-6252 - HIGH -  shadow-utils: Incorrect integer handling results in LPE
CVE-2018-8740 - HIGH -  sqlite: NULL pointer dereference with databases with schema corrupted with CREATE TABLE AS allows for denial of service
CVE-2015-5186 - LOW -  Audit: log terminal emulator escape sequences handling
CVE-2017-6519 - LOW -  avahi: Multicast DNS responds to unicast queries outside of local network
CVE-2014-8166 - LOW -  cups: code execution via unescape ANSI escape sequences
CVE-2016-3739 - LOW -  curl: TLS certificate name check bypass with mbedTLS and PolarSSL
CVE-2017-11462 - LOW -  krb5: Automatic sec context deletion could lead to double-free
CVE-2017-15088 - LOW -  krb5: Buffer overflow in get_matching_data()
CVE-2016-7943 - LOW -  libX11: Insufficient validation of server responses in FontNames
CVE-2016-7942 - LOW -  libX11: Insufficient validation of server responses in XGetImage()
CVE-2016-7945 - LOW -  libXi: Insufficient validation of server responses result in Integer overflows
CVE-2016-7946 - LOW -  libXi: Insufficient validation of server responses result in various data mishandlings
CVE-2016-7949 - LOW -  libXrender: Insufficient validation of server responses results in overflow of previously reserved memory
CVE-2016-7950 - LOW -  libXrender: Insufficient validation of server responses results out-of-bounds write in XRenderQueryFilters
CVE-2016-7951 - LOW -  libXtst: Insufficient validation of server responses result in Integer overflows
CVE-2016-7952 - LOW -  libXtst: Insufficient validation of server responses result in various data mishandlings
CVE-2019-2201 - LOW -  libjpeg-turbo: several integer overflows and subsequent segfaults when attempting to compress/decompress gigapixel images
CVE-2020-14152 - LOW -  libjpeg: improper handling of max_memory_to_use setting can lead to excessive memory consumption
