CVE-2022-21499 - HIGH -  ELSA-2022-9427:  Unbreakable Enterprise kernel-container security update (IMPORTANT)
CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2022-27406 - LOW -  Freetype: Segmentation violation
CVE-2021-20313 - LOW -  ImageMagick: Cipher leak when the calculating signatures in TransformSignatureof MagickCore/signature.c
CVE-2021-20243 - LOW -  ImageMagick: Division by zero in GetResizeFilterWeight in MagickCore/resize.c
CVE-2021-20244 - LOW -  ImageMagick: Division by zero in ImplodeImage in MagickCore/visual-effects.c
CVE-2021-20246 - LOW -  ImageMagick: Division by zero in ScaleResampleFilter in MagickCore/resample.c
CVE-2021-20245 - LOW -  ImageMagick: Division by zero in WriteAnimatedWEBPImage() in coders/webp.c
CVE-2021-20241 - LOW -  ImageMagick: Division by zero in WriteJP2Image() in coders/jp2.c
CVE-2021-20312 - LOW -  ImageMagick: Integer overflow in WriteTHUMBNAILImage of coders/thumbnail.c
CVE-2021-39212 - LOW -  ImageMagick: possible read or write in postscript files
CVE-2021-20309 - LOW -  ImagemMagick: Division by zero in WaveImage() of MagickCore/visual-effects.c
CVE-2021-45942 - LOW -  OpenEXR: heap-based buffer overflow in Imf_3_1:LineCompositeTask:execute
CVE-2019-14899 - LOW -  VPN: an attacker can inject data into the TCP stream which allows a hijack of active connections inside the VPN tunnel
CVE-2019-1010204 - LOW -  binutils: Improper Input Validation, Signed/Unsigned Comparison, Out-of-bounds Read in gold/fileread.cc and elfcpp/elfcpp_file.h leads to denial of service
CVE-2017-13716 - LOW -  binutils: Memory leak with the C++ symbol demangler routine in libiberty
CVE-2021-3530 - LOW -  binutils: stack memory exhaustion in demangle_path() in rust-demangle.c
CVE-2017-7475 - LOW -  cairo: NULL pointer dereference with a crafted font file
CVE-2018-18064 - LOW -  cairo: Stack-based buffer overflow via parsing of crafted WebKitGTK+ document
CVE-2019-6461 - LOW -  cairo: assertion problem in _cairo_arc_in_direction in cairo-arc.c
CVE-2016-2781 - LOW -  coreutils: Non-privileged session can escape to the parent session in chroot
CVE-2018-1000021 - LOW -  git: client prints server-sent ANSI escape codes to the terminal, allowing for unverified messages to potentially execute arbitrary commands
CVE-2021-43618 - LOW -  gmp: Integer overflow and resultant buffer overflow via crafted input
CVE-2017-13693 - LOW -  kernel: ACPI operand cache leak in dsutils.c
CVE-2018-12928 - LOW -  kernel: NULL pointer dereference in hfs_ext_read_extent in hfs.ko
CVE-2020-35501 - LOW -  kernel: audit not logging access to syscall open_by_handle_at for users with CAP_DAC_READ_SEARCH capability
CVE-2020-14304 - LOW -  kernel: ethtool when reading eeprom of device could lead to memory leak
CVE-2020-11725 - LOW -  kernel: improper handling of private_size*count multiplication due to count=info->owner typo
CVE-2019-16230 - LOW -  kernel: null pointer dereference in drivers/gpu/drm/radeon/radeon_display.c
CVE-2019-19814 - LOW -  kernel: out-of-bounds write in __remove_dirty_segment in fs/f2fs/segment.c
CVE-2019-19378 - LOW -  kernel: out-of-bounds write in index_rbio_pages in fs/btrfs/raid56.c
CVE-2022-1729 - LOW -  kernel: race condition in perf_event_open leads to privilege escalation
CVE-2018-12931 - LOW -  kernel: stack-based out-of-bounds write in ntfs_attr_find in the ntfs.ko
CVE-2018-12930 - LOW -  kernel: stack-based out-of-bounds write in ntfs_end_buffer_async_read in the ntfs.ko
CVE-2019-15213 - LOW -  kernel: use-after-free caused by malicious USB device in drivers/media/usb/dvb-usb/dvb-usb-init.c
CVE-2018-12929 - LOW -  kernel: use-after-free in ntfs_read_locked_inode in the ntfs.ko
CVE-2018-20657 - LOW -  libiberty: Memory leak in demangle_template function resulting in a denial of service
CVE-2018-10126 - LOW -  libtiff: NULL pointer dereference in the jpeg_fdct_16x16 function in jfdctint.c
CVE-2017-9937 - LOW -  libtiff: memory malloc failure in tif_jbig.c could cause DOS.
CVE-2015-9019 - LOW -  libxslt: math.random() in xslt uses unseeded randomness
CVE-2016-20013 - LOW -  null
CVE-2017-0537 - LOW -  null
CVE-2017-13165 - LOW -  null
CVE-2020-9849 - LOW -  null
CVE-2020-9991 - LOW -  null
CVE-2021-3941 - LOW -  openexr: Divide-by-zero in Imf_3_1::RGBtoXYZ
CVE-2019-6988 - LOW -  openjpeg: DoS via memory exhaustion in opj_decompress
CVE-2021-3575 - LOW -  openjpeg: heap-buffer-overflow in color.c may lead to DoS or arbitrary code execution
CVE-2021-29338 - LOW -  openjpeg: out-of-bounds write due to an integer overflow in opj_compress.c
CVE-2020-14145 - LOW -  openssh: Observable discrepancy leading to an information leak in the algorithm negotiation
CVE-2021-41617 - LOW -  openssh: privilege escalation when AuthorizedKeysCommand or AuthorizedPrincipalsCommand are configured
CVE-2018-6952 - LOW -  patch: Double free of memory in pch.c:another_hunk() causes a crash
CVE-2021-45261 - LOW -  patch: Invalid Pointer via another_hunk function
CVE-2022-1586 - LOW -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - LOW -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2017-11164 - LOW -  pcre: OP_KETRMAX feature in the match function in pcre_exec.c
CVE-2018-1121 - LOW -  procps-ng, procps: process hiding through race condition enumerating /proc
CVE-2015-20107 - LOW -  python(mailcap): findmatch() function does not sanitise the second argument
CVE-2013-4235 - LOW -  shadow-utils: TOCTOU race conditions by copying and removing directory trees
CVE-2019-9923 - LOW -  tar: null-pointer dereference in pax_decode_header in sparse.c
CVE-2021-4217 - LOW -  unzip: Null pointer dereference in Unicode strings code
CVE-2022-0530 - LOW -  unzip: SIGSEGV during the conversion of an utf-8 string to a local string
CVE-2015-8553 - MEDIUM -  CVE-2015-2150 CVE-2015-8553 xen: non-maskable interrupts triggerable by guests (xsa120)
CVE-2022-27404 - MEDIUM -  FreeType: Buffer Overflow
CVE-2020-25664 - MEDIUM -  ImageMagick: heap-based buffer overflow in PopShortPixel in MagickCore/quantum-private.h
CVE-2022-1114 - MEDIUM -  ImageMagick: heap-use-after-free in RelinquishDCMInfo of dcm.c
CVE-2022-1304 - MEDIUM -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2021-44648 - MEDIUM -  gdk-pixbuf: heap-buffer overflow when decoding the lzw compressed stream of image data
CVE-2022-1652 - MEDIUM -  kernel: A concurrency use-after-free in bad_flp_intr
CVE-2020-13844 - MEDIUM -  kernel: ARM straight-line speculation vulnerability
CVE-2022-1836 - MEDIUM -  kernel: Concurrency use-after-free in floppy's raw_cmd
CVE-2021-4148 - MEDIUM -  kernel: Improper implementation of block_invalidatepage() allows users to crash the kernel
CVE-2021-4095 - MEDIUM -  kernel: KVM: NULL pointer dereference in kvm_dirty_ring_get() in virt/kvm/dirty_ring.c
CVE-2022-0171 - MEDIUM -  kernel: KVM: cache incoherence issue in SEV API may lead to kernel crash
CVE-2022-0500 - MEDIUM -  kernel: Linux ebpf logic vulnerability leads to critical memory read and write gaining root privileges
CVE-2018-17977 - MEDIUM -  kernel: Mishandled interactions among XFRM Netlink messages, IPPROTO_AH packets, and IPPROTO_IP packets resulting in a denial of service
CVE-2022-0400 - MEDIUM -  kernel: Out of bounds read in the smc protocol stack
CVE-2022-1012 - MEDIUM -  kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak
CVE-2022-28893 - MEDIUM -  kernel: Use after free in SUNRPC subsystem
CVE-2022-1734 - MEDIUM -  kernel: Use-After-Free in NFC driver in nfcmrvl_nci_unregister_dev when simulating NFC device from user-space
CVE-2022-0998 - MEDIUM -  kernel: an integer overflow in the vhost_vdpa_config_validate() can lead to out-of-bounds access on top of a 32-bit Linux kernel
CVE-2021-3864 - MEDIUM -  kernel: descendant's dumpable setting with certain SUID binaries
CVE-2021-33061 - MEDIUM -  kernel: insufficient control flow management for the Intel(R) 82599 Ethernet Controllers and Adapters may lead to DoS
CVE-2022-1786 - MEDIUM -  kernel: invalid-free in io_uring that can lead to LPE
CVE-2022-0995 - MEDIUM -  kernel: kernel bug in the watch_queue subsystem
CVE-2022-0480 - MEDIUM -  kernel: memcg does not limit the number of POSIX file locks allowing memory exhaustion
CVE-2013-7445 - MEDIUM -  kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects
CVE-2016-8660 - MEDIUM -  kernel: xfs: local DoS due to a page lock order bug in the XFS seek hole/data implementation
CVE-2022-1354 - MEDIUM -  libtiff: heap-buffer-overflow in TIFFReadRawDataStriped() in tiffinfo.c
CVE-2020-9794 - MEDIUM -  null
CVE-2021-39800 - MEDIUM -  null
CVE-2021-39801 - MEDIUM -  null
CVE-2021-39802 - MEDIUM -  null
CVE-2021-46322 - MEDIUM -  null
CVE-2021-3933 - MEDIUM -  openexr: Integer-overflow in Imf_3_1::bytesPerDeepLineTable
CVE-2020-16156 - MEDIUM -  perl-CPAN: Bypass of verification of signatures in CHECKSUMS files
CVE-2022-0529 - MEDIUM -  unzip: Heap out-of-bound writes and reads during conversion of wide string to local string
CVE-2021-31879 - MEDIUM -  wget: authorization header disclosure on redirect
