CVE-2022-27781 - LOW -  curl: CERTINFO never-ending busy-loop
CVE-2022-27776 - LOW -  curl: auth/cookie leak on redirect
CVE-2022-27775 - LOW -  curl: bad local IPv6 connection reuse
CVE-2022-1586 - LOW -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - LOW -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2021-4217 - LOW -  unzip: Null pointer dereference in Unicode strings code
CVE-2020-15522 - MEDIUM -  bouncycastle: Timing issue within the EC math library
CVE-2022-22576 - MEDIUM -  curl: OAUTH2 bearer bypass in connection re-use
CVE-2022-27782 - MEDIUM -  curl: TLS and SSH connection too eager reuse
CVE-2022-27774 - MEDIUM -  curl: credential leak on redirect
CVE-2022-1304 - MEDIUM -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2022-23708 - MEDIUM -  elasticsearch: privilege escalation vulnerability (ESA-2022-02)
CVE-2021-3999 - MEDIUM -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2022-1271 - MEDIUM -  gzip: arbitrary-file-write vulnerability
CVE-2022-23710 - MEDIUM -  kibana: cross-site-scripting (XSS) issue (ESA-2022-04)
CVE-2022-1292 - MEDIUM -  openssl: c_rehash script allows command injection
CVE-2021-3995 - MEDIUM -  util-linux: Unauthorized unmount of FUSE filesystems belonging to users with similar uid
CVE-2021-3996 - MEDIUM -  util-linux: Unauthorized unmount of filesystems in libmount
CVE-2022-1620 - MEDIUM -  vim: NULL Pointer Dereference in vim_regexec_string() of regexp.c
CVE-2022-1420 - MEDIUM -  vim: Out-of-range Pointer Offset
CVE-2022-1621 - MEDIUM -  vim: heap buffer overflow
CVE-2022-1616 - MEDIUM -  vim: heap-buffer-overflow in append_command of src/ex_docmd.c
CVE-2022-1619 - MEDIUM -  vim: heap-buffer-overflow in cmdline_erase_chars of ex_getln.c
GMS-2022-5 - UNKNOWN -  A potential Denial of Service issue in protobuf-java
