CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2022-22720 - CRITICAL -  httpd: Errors encountered during the discarding of request body lead to HTTP request smuggling
CVE-2022-22721 - CRITICAL -  httpd: core: Possible buffer overflow with very large or unlimited LimitXMLRequestBody
CVE-2022-23943 - CRITICAL -  httpd: mod_sed: Read/write beyond bounds
CVE-2019-15292 - CRITICAL -  kernel: Use-after-free in atalk_proc_exit function in net/appletalk
CVE-2021-39713 - CRITICAL -  kernel: race condition in the network scheduling subsystem could lead to an use-after-free
CVE-2017-12652 - CRITICAL -  libpng: does not check length of chunks against user limit
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2022-29248 - HIGH -  Cross-domain cookie leakage
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2022-1353 - HIGH -  Kernel: A kernel-info-leak issue in pfkey_register
CVE-2017-12454 - HIGH -  binutils: Arbitrary memory read in _bfd_vms_slurp_egs function
CVE-2017-12799 - HIGH -  binutils: Heap-based 1 byte buffer over-write in elf_read_notes function in bfd/elf.c
CVE-2017-14333 - HIGH -  binutils: Insuficient input validation in process_version_sections function in readelf.c
CVE-2017-12457 - HIGH -  binutils: NULL pointer dereference in bfd_make_section_with_flags function
CVE-2017-13710 - HIGH -  binutils: NULL pointer dereference in the setup_group function
CVE-2017-12448 - HIGH -  binutils: heap use after free in bfd_cache_close function
CVE-2017-12453 - HIGH -  binutils: out of bounds heap read in __bfd_vms_slurp_eeom function
CVE-2017-12449 - HIGH -  binutils: out of bounds heap read in _bfd_vms_save_sized_string function
CVE-2017-12452 - HIGH -  binutils: out of bounds heap read in bfd_mach_o_i386_canonicalize_one_reloc function
CVE-2017-12455 - HIGH -  binutils: out of bounds heap read in evax_bfd_print_emh function
CVE-2017-12458 - HIGH -  binutils: out of bounds heap read in nlm_swap_auxiliary_headers_in function
CVE-2017-12456 - HIGH -  binutils: out of bounds heap read in read_symbol_stabs_debugging_inf function
CVE-2017-12450 - HIGH -  binutils: out of bounds heap write in alpha_vms_object_p function
CVE-2017-12459 - HIGH -  binutils: out of bounds heap write in bfd_mach_o_read_symtab_strtab function
CVE-2017-12451 - HIGH -  binutils: out of bounds stack read in _bfd_xcoff_read_ar_hdr function
CVE-2018-1128 - HIGH -  ceph: cephx protocol is vulnerable to replay attack
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2019-8907 - HIGH -  file: do_core_note in readelf.c allows remote attackers to cause a denial of service
CVE-2021-27218 - HIGH -  glib: integer overflow in g_byte_array_new_take function when called with a buffer of 4GB or more on a 64-bit platform
