CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2022-0686 - CRITICAL -  npm-url-parse: Authorization bypass through user-controlled key
CVE-2021-43529 - CRITICAL -  thunderbird: Memory corruption when processing S/MIME messages
CVE-2022-24785 - HIGH -  Moment.js: Path traversal  in moment.locale
CVE-2021-43138 - HIGH -  Prototype Pollution in async
CVE-2022-24407 - HIGH -  cyrus-sasl: failure to properly escape SQL input allows an attacker to execute arbitrary SQL commands
CVE-2022-25315 - HIGH -  expat: Integer overflow in storeRawNames()
CVE-2022-25235 - HIGH -  expat: Malformed 2- and 3-byte UTF-8 sequences can lead to arbitrary code execution
CVE-2022-25236 - HIGH -  expat: Namespace-separator characters in "xmlns[:prefix]" attribute values can lead to arbitrary code execution
CVE-2022-0155 - HIGH -  follow-redirects: Exposure of Private Personal Information to an Unauthorized Actor
CVE-2022-1271 - HIGH -  gzip: arbitrary-file-write vulnerability
CVE-2022-0235 - HIGH -  node-fetch: exposure of sensitive information to an unauthorized actor
CVE-2022-24772 - HIGH -  node-forge: Signature verification failing to check tailing garbage bytes can lead to signature forgery
CVE-2022-24771 - HIGH -  node-forge: Signature verification leniency in checking `digestAlgorithm` structure can lead to signature forgery
CVE-2021-3749 - HIGH -  nodejs-axios: Regular expression denial of service in trim function
CVE-2021-23337 - HIGH -  nodejs-lodash: command injection via template
CVE-2020-8203 - HIGH -  nodejs-lodash: prototype pollution in zipObjectDeep function
CVE-2022-0778 - HIGH -  openssl: Infinite loop in BN_mod_sqrt() reachable when parsing certificates
CVE-2022-23647 - HIGH -  prismjs: improperly escaped output allows a XSS
CVE-2018-25032 - HIGH -  zlib: A flaw found in zlib when compressing (not decompressing) certain inputs
CVE-2021-4209 - LOW -  GnuTLS: Null pointer dereference in MD_UPDATE
GHSA-5rrq-pxf6-6jx5 - LOW -  Prototype Pollution in node-forge debug API.
GHSA-gf8q-jrpm-jvxq - LOW -  URL parsing in node-forge could lead to undesired behavior.
CVE-2021-20284 - LOW -  binutils: Heap-based buffer overflow in _bfd_elf_slurp_secondary_reloc_section in elf.c
CVE-2018-19932 - LOW -  binutils: Integer overflow due to the IS_CONTAINED_BY_LMA macro resulting in a denial of service
CVE-2018-18483 - LOW -  binutils: Integer overflow in cplus-dem.c:get_count() allows for denial of service
CVE-2018-18606 - LOW -  binutils: NULL pointer dereference in _bfd_add_merge_section in merge_strings function in merge.c
CVE-2020-35507 - LOW -  binutils: NULL pointer dereference in bfd_pef_parse_function_stubs function in bfd/pef.c
CVE-2020-35495 - LOW -  binutils: NULL pointer dereference in bfd_pef_parse_symbols function in bfd/pef.c
CVE-2020-35496 - LOW -  binutils: NULL pointer dereference in bfd_pef_scan_start_address function in bfd/pef.c
CVE-2018-20651 - LOW -  binutils: NULL pointer dereference in elf_link_add_object_symbols function resulting in a denial of service
CVE-2018-18607 - LOW -  binutils: NULL pointer dereference in elf_link_input_bfd in elflink.c
CVE-2018-17794 - LOW -  binutils: NULL pointer dereference in libiberty/cplus-dem.c:work_stuff_copy_to_from() via crafted input
CVE-2018-12697 - LOW -  binutils: NULL pointer dereference in work_stuff_copy_to_from in cplus-dem.c.
CVE-2018-18700 - LOW -  binutils: Recursive Stack Overflow within function d_name, d_encoding, and d_local_name in cp-demangle.c
CVE-2018-12641 - LOW -  binutils: Stack Exhaustion in the demangling functions provided by libiberty
CVE-2018-17985 - LOW -  binutils: Stack consumption problem caused by the cplus_demangle_type
CVE-2018-18484 - LOW -  binutils: Stack exhaustion in cp-demangle.c allows for denial of service
CVE-2018-12934 - LOW -  binutils: Uncontrolled Resource Consumption in remember_Ktype in cplus-dem.c
CVE-2018-12698 - LOW -  binutils: excessive memory consumption in demangle_template in cplus-dem.c
CVE-2018-17360 - LOW -  binutils: heap-based buffer over-read in bfd_getl32 in libbfd.c
CVE-2018-18605 - LOW -  binutils: heap-based buffer over-read in sec_merge_hash_lookup in merge.c
CVE-2020-35493 - LOW -  binutils: heap-based buffer overflow in bfd_pef_parse_function_stubs function in bfd/pef.c via crafted PEF file
CVE-2018-12699 - LOW -  binutils: heap-based buffer overflow in finish_stab in stabs.c
CVE-2018-18701 - LOW -  binutils: infinite recursion in next_is_type_qual and cplus_demangle_type functions in cp-demangle.c
CVE-2019-14250 - LOW -  binutils: integer overflow in simple-object-elf.c leads to a heap-based buffer overflow
CVE-2018-18309 - LOW -  binutils: invalid memory address dereference in read_reloc in reloc.c
CVE-2018-20002 - LOW -  binutils: memory leak in _bfd_generic_read_minisymbols function in syms.c
CVE-2018-6872 - LOW -  binutils: out of bounds read in elf_parse_notes function in elf.c file in libbfd library
CVE-2019-12972 - LOW -  binutils: out-of-bounds read in setup_group in bfd/elf.c
CVE-2019-9071 - LOW -  binutils: stack consumption in function d_count_templates_scopes in cp-demangle.c
CVE-2020-35494 - LOW -  binutils: usage of unitialized heap in tic4x_print_cond function in opcodes/tic4x-dis.c
CVE-2019-12900 - LOW -  bzip2: out-of-bounds write in function BZ2_decompress
CVE-2020-35512 - LOW -  dbus: users with the same numeric UID could lead to use-after-free and undefined behaviour
CVE-2019-8906 - LOW -  file: out-of-bounds read in do_core_note in readelf.c
CVE-2019-8905 - LOW -  file: stack-based buffer over-read in do_core_note in readelf.c
CVE-2018-16428 - LOW -  glib2: NULL pointer dereference in g_markup_parse_context_end_parse() function in gmarkup.c
CVE-2021-43618 - LOW -  gmp: Integer overflow and resultant buffer overflow via crafted input
CVE-2021-3981 - LOW -  grub2: Incorrect permission in grub.cfg allow unprivileged user to read the file content
CVE-2017-14166 - LOW -  libarchive: Heap-based buffer over-read in the atol8 function
CVE-2018-1000880 - LOW -  libarchive: Improper input validation in WARC parser resulting in a denial of service
CVE-2018-1000879 - LOW -  libarchive: NULL pointer dereference in ACL parser resulting in a denial of service
CVE-2017-14501 - LOW -  libarchive: Out-of-bounds read in parse_file_info
CVE-2018-20657 - LOW -  libiberty: Memory leak in demangle_template function resulting in a denial of service
CVE-2019-7317 - LOW -  libpng: use-after-free in png_image_free in png.c
CVE-2018-1000654 - LOW -  libtasn1: Infinite loop in _asn1_expand_object_id(ptree) leads to memory exhaustion
CVE-2018-20786 - LOW -  libvterm: NULL pointer dereference in vterm_screen_set_callbacks
CVE-2018-19217 - LOW -  ncurses: Null pointer dereference at function _nc_name_match
CVE-2018-19211 - LOW -  ncurses: Null pointer dereference at function _nc_parse_entry in parse_entry.c
CVE-2020-12413 - LOW -  nss: Information exposure when DH secret are reused across multiple TLS connections
CVE-2018-1121 - LOW -  procps-ng, procps: process hiding through race condition enumerating /proc
CVE-2018-20225 - LOW -  python-pip: when --extra-index-url option is used and package does not already exist in the public index, the installation of malicious package with arbitrary version number is possible.
CVE-2021-3737 - LOW -  python: urllib: HTTP client possible infinite loop on a 100 Continue response
CVE-2019-19244 - LOW -  sqlite: allows a crash if a sub-select uses both DISTINCT and window functions and also has certain ORDER BY usage
CVE-2019-9936 - LOW -  sqlite: heap-based buffer over-read in function fts5HashEntrySort in sqlite3.c
CVE-2019-9937 - LOW -  sqlite: null-pointer dereference in function fts5ChunkIterate in sqlite3.c
CVE-2021-3997 - LOW -  systemd: Uncontrolled recursion in systemd-tmpfiles when removing files
CVE-2021-20193 - LOW -  tar: Memory leak in read_header() in list.c
CVE-2019-9923 - LOW -  tar: null-pointer dereference in pax_decode_header in sparse.c
CVE-2019-16866 - LOW -  unbound: uninitialized memory accesses leads to crash via a crafted NOTIFY query
CVE-2022-1733 - LOW -  vim: Heap-based Buffer Overflow in cindent.c
CVE-2021-3974 - LOW -  vim: Use after free in regexp_nfa.c
CVE-2022-0351 - LOW -  vim: access of memory location before start of buffer
CVE-2022-1769 - LOW -  vim: buffer over-read in scriptfile.c
CVE-2022-1735 - LOW -  vim: changing text in visual mode may cause invalid memory access that lead to a heap buffer overflow
