NSWG-ECO-433 - CRITICAL -  Command Injection - Generic
GHSA-28xh-wpgr-7fm8 - CRITICAL -  Command Injection in open
CVE-2017-5337 - CRITICAL -  gnutls: Heap read overflow in read-packet.c
CVE-2017-5336 - CRITICAL -  gnutls: Stack overflow in cdk_pk_get_keyid
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2019-5953 - CRITICAL -  wget: do_conversion() heap-based buffer overflow vulnerability
GHSA-8j8c-7jfh-h6hx - HIGH -  Code Injection in js-yaml
CVE-2021-21422 - HIGH -  Cross-site scripting
NSWG-ECO-401 - HIGH -  Denial of Service
GHSA-mh5c-679w-hh4r - HIGH -  Denial of Service in mongodb
NSWG-ECO-434 - HIGH -  Out-of-bounds Read
GHSA-j4mr-9xw3-c9jx - HIGH -  Out-of-bounds Read in base64-url
CVE-2021-43138 - HIGH -  Prototype Pollution in async
GHSA-46fh-8fc5-xcwx - HIGH -  Prototype Pollution in lodash.defaultsdeep
GHSA-h5mp-5q4p-ggf5 - HIGH -  Prototype Pollution in lodash.defaultsdeep
GHSA-5947-m4fg-xhqg - HIGH -  Prototype Pollution in lodash.mergewith
GHSA-779f-wgxg-qr8f - HIGH -  Prototype Pollution in lodash.mergewith
CVE-2020-7610 - HIGH -  bson:  Deserialization of Untrusted Data could result in Code injection or Excessive CPU load
CVE-2020-14382 - HIGH -  cryptsetup: Out-of-bounds write when validating segments
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2021-3999 - HIGH -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2020-29573 - HIGH -  glibc: stack-based buffer overflow if the input to any of the printf family of functions is an 80-bit long double with a non-canonical bit pattern
CVE-2017-7507 - HIGH -  gnutls: Crash upon receiving well-formed status_request extension
CVE-2017-5335 - HIGH -  gnutls: Out of memory while parsing crafted OpenPGP certificate
CVE-2017-7869 - HIGH -  gnutls: Out-of-bounds write related to the cdk_pkt_read function (GNUTLS-SA-2017-3)
CVE-2022-1271 - HIGH -  gzip: arbitrary-file-write vulnerability
CVE-2022-29167 - HIGH -  hawk: REDoS in hawk.utils.parseHost() when parsing Host header
CVE-2017-6891 - HIGH -  libtasn1: Stack-based buffer overflow in asn1_find_node()
CVE-2022-21803 - HIGH -  nconf: Prototype pollution in memory store
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
