CVE-2016-2141 - CRITICAL -  JGroups: Authorization bypass
CVE-2019-10158 - CRITICAL -  infinispan: Session fixation protection broken for Spring Session integration
CVE-2019-10212 - CRITICAL -  undertow: DEBUG log for io.undertow.request.security if enabled leaks credentials to log files
CVE-2019-3888 - CRITICAL -  undertow: leak credentials to log files UndertowLogger.REQUEST_LOGGER.undertowRequestFailed
CVE-2015-5258 - HIGH -  CSRF
CVE-2018-17201 - HIGH -  Improper Input Validation in Apache Sanselan
CVE-2018-17202 - HIGH -  Infinite Loop in Apache Sanselan
CVE-2014-3530 - HIGH -  PicketLink: XXE via insecure DocumentBuilderFactory usage
CVE-2022-23913 - HIGH -  artemis-commons: Apache ActiveMQ Artemis DoS
CVE-2022-25647 - HIGH -  com.google.code.gson-gson: Deserialization of Untrusted Data in com.google.code.gson-gson
CVE-2019-14869 - HIGH -  ghostscript: -dSAFER escape in .charkeys (701841)
CVE-2020-25638 - HIGH -  hibernate-core: SQL injection vulnerability when both hibernate.use_sql_comments and JPQL String literals are used
CVE-2021-33813 - HIGH -  jdom: XXE allows attackers to cause a DoS via a crafted HTTP request
CVE-2022-23596 - HIGH -  junrar: A carefully crafted RAR archive can trigger an infinite loop while extracting
CVE-2019-16869 - HIGH -  netty: HTTP request smuggling by mishandled whitespace before the colon in HTTP headers
CVE-2018-17187 - HIGH -  qpid-proton-java: Hostname verification mode not implemented in transport TLS wrapper
CVE-2020-1695 - HIGH -  resteasy: Improper validation of response header in MediaTypeHeaderDelegate.java class
CVE-2017-18640 - HIGH -  snakeyaml: Billion laughs attack via alias feature
CVE-2016-5007 - HIGH -  spring: Path matching inconsistency
CVE-2017-9445 - HIGH -  systemd: Out-of-bounds write in systemd-resolved due to allocating too small buffer in dns_packet_new
CVE-2018-11796 - HIGH -  tika: Incomplete fix allows for XML entity expansion resulting in denial of service
CVE-2018-1048 - HIGH -  undertow: ALLOW_ENCODED_SLASH option not taken into account in the AjpRequestParser
CVE-2019-10184 - HIGH -  undertow: Information leak in requests for directories without trailing slashes
CVE-2017-12165 - HIGH -  undertow: improper whitespace parsing leading to potential HTTP request smuggling
CVE-2019-14888 - HIGH -  undertow: possible Denial Of Service (DOS) in Undertow HTTP server listening on HTTPS
CVE-2020-1757 - HIGH -  undertow: servletPath is normalized incorrectly leading to dangerous application mapping which could result in security bypass
CVE-2016-4216 - HIGH -  xmpcore: XXE resulting in information disclosure
CVE-2021-39139 - HIGH -  xstream: Arbitrary code execution via unsafe deserialization of Xalan xsltc.trax.TemplatesImpl
CVE-2021-39149 - HIGH -  xstream: Arbitrary code execution via unsafe deserialization of com.sun.corba.*
CVE-2021-39145 - HIGH -  xstream: Arbitrary code execution via unsafe deserialization of com.sun.jndi.ldap.LdapBindingEnumeration
CVE-2021-39146 - HIGH -  xstream: Arbitrary code execution via unsafe deserialization of javax.swing.UIDefaults$ProxyLazyValue
CVE-2019-13132 - HIGH -  zeromq: stack-overflow on any server protected by encryption/authentication
CVE-2017-12430 - LOW -  GraphicsMagick, ImageMagick: Memory exhaustion in ReadMPCImage in coders/mpc.c
CVE-2017-9501 - LOW -  ImageMagick: Assertion failure in LockSemaphoreInfo
CVE-2017-12670 - LOW -  ImageMagick: Assertion failure in the function DestroyImage
CVE-2017-15281 - LOW -  ImageMagick: Conditional statement depends on unitialized value
CVE-2017-17504 - LOW -  ImageMagick: Heap-based buffer overflow in Magick_png_read_raw_profile
CVE-2017-13758 - LOW -  ImageMagick: Heap-based buffer overflow in the TracePoint() function in MagickCore/draw.c
CVE-2017-14741 - LOW -  ImageMagick: Infinite loop in the ReadCAPTIONImage function
CVE-2018-7443 - LOW -  ImageMagick: Memory allocation failure in ReadTIFFImage function in memory.c
CVE-2017-12429 - LOW -  ImageMagick: Memory exhaustion in ReadMIFFImage in coders/miff.c
