CVE-2022-28391 - CRITICAL -  busybox: remote attackers may execute arbitrary code if netstat is used
CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2021-28918 - CRITICAL -  nodejs-netmask: improper input validation of octal input data
GHSA-8j8c-7jfh-h6hx - HIGH -  Code Injection in js-yaml
CVE-2021-43138 - HIGH -  Prototype Pollution in async
CVE-2021-42380 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the clrvar()
CVE-2021-42383 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the evaluate()
CVE-2021-42385 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the evaluate()
CVE-2021-42378 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_i()
CVE-2021-42382 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_s()
CVE-2021-42384 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the handle_special()
CVE-2021-42381 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the hash_init()
CVE-2021-42379 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the next_input_file()
CVE-2021-42386 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the nvalloc()
CVE-2022-23648 - HIGH -  containerd: insecure handling of image volumes
CVE-2021-41103 - HIGH -  containerd: insufficiently restricted permissions on container root and plugin directories
CVE-2015-3627 - HIGH -  docker: insecure opening of file-descriptor 1 leading to privilege escalation
CVE-2022-29078 - HIGH -  ejs: server-side template injection in outputFunctionName
CVE-2021-3121 - HIGH -  gogo/protobuf: plugin/unmarshal/unmarshal.go lacks certain index validation
CVE-2022-27191 - HIGH -  golang: crash in a golang.org/x/crypto/ssh server
CVE-2020-26160 - HIGH -  jwt-go: access restriction bypass vulnerability
CVE-2022-21680 - HIGH -  marked: regular expression block.def may lead Denial of Service
CVE-2022-21681 - HIGH -  marked: regular expression inline.reflinkSearch may lead Denial of Service
CVE-2021-23424 - HIGH -  nodejs-ansi-html: ReDoS via crafted string
CVE-2021-3807 - HIGH -  nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes
CVE-2021-39134 - HIGH -  nodejs-arborist: symlink following vulnerability
