CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2022-1271 - HIGH -  gzip: arbitrary-file-write vulnerability
CVE-2022-0891 - HIGH -  libtiff: heap buffer overflow in extractImageSection
CVE-2022-27775 - LOW -  curl: bad local IPv6 connection reuse
CVE-2022-22576 - MEDIUM -  curl: OAUTH2 bearer bypass in connection re-use
CVE-2022-27776 - MEDIUM -  curl: auth/cookie leak on redirect
CVE-2022-27774 - MEDIUM -  curl: credential leak on redirect
CVE-2022-0561 - MEDIUM -  libtiff: Denial of Service via crafted TIFF file
CVE-2022-0562 - MEDIUM -  libtiff: Null source pointer lead to Denial of Service via crafted TIFF file
CVE-2022-0924 - MEDIUM -  libtiff: Out-of-bounds Read error in tiffcp
CVE-2022-22844 - MEDIUM -  libtiff: out-of-bounds read in _TIFFmemcpy() in tif_unix.c
CVE-2022-0865 - MEDIUM -  libtiff: reachable assertion
CVE-2022-29824 - MEDIUM -  libxml2: integer overflows in xmlBuf and xmlBuffer lead to out-of-bounds write
CVE-2022-0909 - MEDIUM -  tiff: Divide By Zero error in tiffcrop
CVE-2022-0907 - MEDIUM -  tiff: NULL Pointer Dereference in tiffcrop
CVE-2022-0908 - MEDIUM -  tiff: Null source pointer passed as an argument to memcpy in TIFFFetchNormalTag() in tif_dirread.c
