CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2019-10744 - CRITICAL -  nodejs-lodash: prototype pollution in defaultsDeep function leading to modifying properties
CVE-2019-10746 - CRITICAL -  nodejs-mixin-deep: prototype pollution in function mixin-deep
CVE-2021-28918 - CRITICAL -  nodejs-netmask: improper input validation of octal input data
CVE-2019-10747 - CRITICAL -  nodejs-set-value: prototype pollution in function set-value
GHSA-8j8c-7jfh-h6hx - HIGH -  Code Injection in js-yaml
GHSA-6x33-pw7p-hmpq - HIGH -  Denial of Service in http-proxy
CVE-2021-43138 - HIGH -  Prototype Pollution in async
CVE-2022-29078 - HIGH -  ejs: server-side template injection in outputFunctionName
CVE-2022-0155 - HIGH -  follow-redirects: Exposure of Private Personal Information to an Unauthorized Actor
CVE-2018-16487 - HIGH -  lodash: Prototype pollution in utilities function
CVE-2021-3807 - HIGH -  nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes
CVE-2020-8116 - HIGH -  nodejs-dot-prop: prototype pollution
CVE-2019-13173 - HIGH -  nodejs-fstream: File overwrite in fstream.DirWriter() function
CVE-2020-28469 - HIGH -  nodejs-glob-parent: Regular expression denial of service
CVE-2020-7788 - HIGH -  nodejs-ini: Prototype pollution via malicious INI file
CVE-2019-20149 - HIGH -  nodejs-kind-of: ctorName in index.js allows external user input to overwrite certain internal attributes
CVE-2021-23337 - HIGH -  nodejs-lodash: command injection via template
CVE-2020-8203 - HIGH -  nodejs-lodash: prototype pollution in zipObjectDeep function
CVE-2020-7754 - HIGH -  nodejs-npm-user-validate: improper input validation when validating user emails leads to ReDoS
CVE-2021-23406 - HIGH -  nodejs-pac-resolver: remote code execution when used with untrusted input due to unsafe PAC file handling
CVE-2021-23440 - HIGH -  nodejs-set-value: type confusion allows bypass of CVE-2019-10747
CVE-2022-0144 - HIGH -  nodejs-shelljs: improper privilege management
CVE-2021-27290 - HIGH -  nodejs-ssri: Regular expression DoS (ReDoS) when parsing malicious SRI in strict mode
CVE-2021-37713 - HIGH -  nodejs-tar: Arbitrary File Creation/Overwrite on Windows via insufficient relative path sanitization
CVE-2018-20834 - HIGH -  nodejs-tar: Arbitrary file overwrites when extracting tarballs containing a hard-link
CVE-2021-32804 - HIGH -  nodejs-tar: Insufficient absolute path sanitization allowing arbitrary file creation and overwrite
CVE-2021-32803 - HIGH -  nodejs-tar: Insufficient symlink protection allowing arbitrary file creation and overwrite
CVE-2021-37701 - HIGH -  nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite
CVE-2021-37712 - HIGH -  nodejs-tar: Insufficient symlink protection due to directory cache poisoning using symbolic links allowing arbitrary file creation and overwrite
CVE-2020-7774 - HIGH -  nodejs-y18n: prototype pollution vulnerability
CVE-2019-10773 - HIGH -  nodejs-yarn: Install functionality can be abused to generate arbitrary symlinks
CVE-2019-16775 - HIGH -  npm: Symlink reference outside of node_modules folder through the bin field upon installation
CVE-2020-8131 - HIGH -  yarn: Arbitrary filesystem write via tar expansion
GHSA-gqf6-75v8-vr26 - LOW -  Arbitrary File Write in bin-links
GHSA-v45m-2wcp-gg98 - LOW -  Global node_modules Binary Overwrite in bin-links
GHSA-xgh6-85xh-479p - LOW -  Regular Expression Denial of Service in npm-user-validate
GHSA-2mj8-pj3j-h362 - LOW -  Symlink reference outside of node_modules in bin-links
CVE-2018-3721 - LOW -  lodash: Prototype pollution in utilities function
CVE-2017-18869 - LOW -  nodejs-chownr: TOCTOU vulnerability in `chownr` function in chownr.js
CVE-2019-16776 - LOW -  npm: Arbitrary file write via constructed entry in the package.json bin field
CVE-2019-16777 - LOW -  npm: Global node_modules Binary Overwrite
CVE-2020-15095 - LOW -  npm: sensitive information exposure through logs
GHSA-2pr6-76vf-7546 - MEDIUM -  Denial of Service in js-yaml
GHSA-4xcv-9jjx-gfj3 - MEDIUM -  Denial of Service in mem
GHSA-64g7-mvw6-v9qj - MEDIUM -  Improper Privilege Management in shelljs
GHSA-pc5p-h8pf-mvwp - MEDIUM -  Machine-In-The-Middle in https-proxy-agent
NSWG-ECO-505 - MEDIUM -  Man-in-the-Middle
GHSA-jmqm-f2gx-4fjv - MEDIUM -  Sensitive information exposure through logs in npm-registry-fetch
CVE-2022-0536 - MEDIUM -  follow-redirects: Exposure of Sensitive Information via Authorization Header leak
CVE-2019-1010266 - MEDIUM -  lodash: uncontrolled resource consumption in Data handler causing denial of service
CVE-2020-15366 - MEDIUM -  nodejs-ajv: prototype pollution via crafted JSON schema in ajv.validate function
CVE-2021-29060 - MEDIUM -  nodejs-color-string: Regular expression denial of service when the application is provided and checks a crafted invalid HWB string
CVE-2021-23362 - MEDIUM -  nodejs-hosted-git-info: Regular Expression denial of service via shortcutMatch in fromUrl()
CVE-2021-3918 - MEDIUM -  nodejs-json-schema: Prototype pollution vulnerability
CVE-2020-28500 - MEDIUM -  nodejs-lodash: ReDoS via the toNumber, trim and trimEnd functions
CVE-2020-7598 - MEDIUM -  nodejs-minimist: prototype pollution allows adding or modifying properties of Object.prototype using a constructor or __proto__ payload
CVE-2021-29418 - MEDIUM -  nodejs-netmask: incorrectly parses an IP address that has octal integer with invalid character
CVE-2021-23343 - MEDIUM -  nodejs-path-parse: ReDoS via splitDeviceRe, splitTailRe and splitPathRe
CVE-2020-7608 - MEDIUM -  nodejs-yargs-parser: prototype pollution vulnerability
CVE-2019-15608 - MEDIUM -  yarn: TOCTOU vulnerability leads to cache pollution
