CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2015-20107 - CRITICAL -  python(mailcap): findmatch() function does not sanitise the second argument
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2022-28463 - HIGH -  ImageMagick: heap-buffer-overflow in PushLongPixel() of quantum-private.h
CVE-2022-1114 - HIGH -  ImageMagick: heap-use-after-free in RelinquishDCMInfo of dcm.c
CVE-2022-1353 - HIGH -  Kernel: A kernel-info-leak issue in pfkey_register
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2022-25308 - HIGH -  fribidi: Stack based buffer overflow
CVE-2022-1247 - HIGH -  kernel: A race condition bug in rose_connect()
CVE-2022-1011 - HIGH -  kernel: FUSE allows UAF reads of write() buffers, allowing theft of (partial) /etc/shadow hashes
CVE-2022-29581 - HIGH -  kernel: Improper Update of Reference Count vulnerability in net/sched
CVE-2020-12362 - HIGH -  kernel: Integer overflow in Intel(R) Graphics Drivers
CVE-2022-1012 - HIGH -  kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak
CVE-2022-1679 - HIGH -  kernel: Use-After-Free in ath9k_htc_probe_device() could cause an escalation of privileges
CVE-2022-28390 - HIGH -  kernel: a double free in ems_usb_start_xmit in drivers/net/can/usb/ems_usb.c
CVE-2022-28389 - HIGH -  kernel: a double free in mcba_usb_start_xmit in drivers/net/can/usb/mcba_usb.c
CVE-2022-28388 - HIGH -  kernel: a double free in usb_8dev_start_xmit in drivers/net/can/usb/usb_8dev.c
CVE-2021-4197 - HIGH -  kernel: cgroup: Use open-time creds and namespace for migration perm checks
CVE-2021-3847 - HIGH -  kernel: low-privileged user privileges escalation
CVE-2022-1048 - HIGH -  kernel: race condition in snd_pcm_hw_free leading to use-after-free
CVE-2017-16932 - HIGH -  libxml2: Infinite recursion in parameter entities
CVE-2022-27386 - HIGH -  mariab: SEGV via the component sql/sql_class.cc.
CVE-2021-46669 - HIGH -  mariadb: MariaDB through 10.5.9 allows attackers to trigger a convert_const_to_int use-after-free when the BIGINT data type is used
CVE-2022-27382 - HIGH -  mariadb: SEGV via component Item_field::used_tables/update_depend_map_for_order or Assertion `fixed == 1'
CVE-2022-27385 - HIGH -  mariadb: crash in Used_tables_and_const_cache::used_tables_and_const_cache_join
CVE-2022-27384 - HIGH -  mariadb: crash via component Item_subselect::init_expr_cache_tracker.
CVE-2022-27387 - HIGH -  mariadb: global-buffer-overflow in decimal_bin_size of decimal.c
CVE-2022-27381 - HIGH -  mariadb: server crash at Field::set_default via specially crafted SQL statements.
CVE-2022-27380 - HIGH -  mariadb: server crash at my_decimal::operator=
CVE-2022-27378 - HIGH -  mariadb: server crash in Create_tmp_table::finalize
CVE-2022-27379 - HIGH -  mariadb: server crash in component Arg_comparator::compare_real_fixed
CVE-2022-27383 - HIGH -  mariadb: use-after-free in my_strcasecmp_8bit() of ctype-simple.c
CVE-2022-27376 - HIGH -  mariadb: use-after-free in the component Item_args::walk_arg
CVE-2022-27377 - HIGH -  mariadb: use-after-free in the component Item_func_in::cleanup() of item_cmpfunc.h
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
CVE-2021-3575 - HIGH -  openjpeg: heap-buffer-overflow in color.c may lead to DoS or arbitrary code execution
CVE-2022-1586 - HIGH -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - HIGH -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2019-20454 - HIGH -  pcre: Out of bounds read in JIT mode when \X is used in non-UTF mode
CVE-2022-1552 - HIGH -  postgresql: Autovacuum, REINDEX, and others omit "security restricted operation" sandbox
CVE-2008-3134 - LOW -  GraphicsMagick/ImageMagick: multiple crash or DoS issues
CVE-2019-16709 - LOW -  ImageMagick: memory leak in coders/dps.c
CVE-2019-13310 - LOW -  ImageMagick: memory leaks at AcquireMagickMemory because of an error in MagickWand/mogrify.c
CVE-2020-25675 - LOW -  ImageMagick: outside the range of representable values of type 'long' and integer overflow at MagickCore/transform.c and MagickCore/image.c
CVE-2020-25666 - LOW -  ImageMagick: outside the range of representable values of type int and signed integer overflow in MagickCore/histogram.c
CVE-2021-26945 - LOW -  OpenEXR: Integer-overflow in bool Imf_2_5::readDeepTile<Imf_2_5::DeepTiledInputPart>
CVE-2018-19931 - LOW -  binutils: Heap-based buffer overflow in bfd_elf32_swap_phdr_in function resulting in a denial of service
