GHSA-36jr-mh4h-2g58 - HIGH -  d3-color vulnerable to ReDoS
GHSA-56x4-j7p9-fcf9 - LOW -  Command Injection in moment-timezone
CVE-2016-2781 - LOW -  coreutils: Non-privileged session can escape to the parent session in chroot
CVE-2022-3219 - LOW -  gnupg: denial of service issue (resource consumption) using compressed packets
CVE-2021-39537 - LOW -  ncurses: heap-based buffer overflow in _nc_captoinfo() in captoinfo.c
CVE-2022-29458 - LOW -  ncurses: segfaulting OOB read
CVE-2016-20013 - LOW -  null
CVE-2017-11164 - LOW -  pcre: OP_KETRMAX feature in the match function in pcre_exec.c
CVE-2013-4235 - LOW -  shadow-utils: TOCTOU race conditions by copying and removing directory trees
GHSA-v78c-4p63-2j6c - MEDIUM -  Cleartext Transmission of Sensitive Information in moment-timezone
CVE-2022-3715 - MEDIUM -  bash: a heap-buffer-overflow in valid_parameter_transform
CVE-2022-40674 - MEDIUM -  expat: a use-after-free in the doContent function in xmlparse.c
CVE-2021-37750 - MEDIUM -  krb5: NULL pointer dereference in process_tgs_req() in kdc/do_tgs_req.c via a FAST inner body that lacks server field
CVE-2021-36222 - MEDIUM -  krb5: Sending a request containing PA-ENCRYPTED-CHALLENGE padata element without using FAST could result in NULL dereference in KDC which leads to DoS
CVE-2022-42800 - MEDIUM -  null
CVE-2022-3821 - MEDIUM -  systemd: buffer overrun in format_timespan() function.
