CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2018-1000007 - CRITICAL -  curl: HTTP authentication leak in redirects
CVE-2015-9290 - CRITICAL -  freetype: buffer over-read in function T1_Get_Private_Dict in type1/t1parse.c
CVE-2017-5337 - CRITICAL -  gnutls: Heap read overflow in read-packet.c
CVE-2017-5336 - CRITICAL -  gnutls: Stack overflow in cdk_pk_get_keyid
CVE-2017-7774 - CRITICAL -  graphite2: out of bounds read "graphite2::Silf::readGraphite"
CVE-2015-9262 - CRITICAL -  libxcursor: 1-byte heap-based overflow in _XcursorThemeInherits function in library.c
CVE-2017-16931 - CRITICAL -  libxml2: Mishandling parameter-entity references
CVE-2017-7375 - CRITICAL -  libxml2: Missing validation for external entities in xmlParsePEReference
CVE-2018-13347 - CRITICAL -  mercurial: Buffer underflow in mpatch.c:mpatch_apply()
CVE-2022-1292 - CRITICAL -  openssl: c_rehash script allows command injection
CVE-2015-5297 - CRITICAL -  pixman: general_composite_rect() integer overflow
CVE-2015-20107 - CRITICAL -  python(mailcap): findmatch() function does not sanitise the second argument
CVE-2019-5953 - CRITICAL -  wget: do_conversion() heap-based buffer overflow vulnerability
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2020-35492 - HIGH -  cairo: libreoffice slideshow aborts with stack smashing in cairo's composite_boxes
CVE-2020-14382 - HIGH -  cryptsetup: Out-of-bounds write when validating segments
CVE-2018-6553 - HIGH -  cups: AppArmor cupsd Sandbox Bypass Due to Use of Hard Links
CVE-2017-18190 - HIGH -  cups: DNS rebinding attacks via incorrect whitelist
CVE-2018-4180 - HIGH -  cups: Local privilege escalation to root due to insecure environment variable handling
CVE-2020-3898 - HIGH -  cups: heap based buffer overflow in libcups's ppdFindOption() in ppd-mark.c
CVE-2019-8696 - HIGH -  cups: stack-buffer-overflow in libcups's asn1_get_packed function
CVE-2016-8625 - HIGH -  curl: IDNA 2003 makes curl use wrong host
CVE-2020-35512 - HIGH -  dbus: users with the same numeric UID could lead to use-after-free and undefined behaviour
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2017-9233 - HIGH -  expat: Inifinite loop due to invalid XML in external entity
CVE-2015-9381 - HIGH -  freetype: a heap-based buffer over-read in T1_Get_Private_Dict in type1/t1parse.c leading to crash
CVE-2017-2862 - HIGH -  gdk-pixbuf2: Heap overflow in the gdk_pixbuf__jpeg_image_load_increment function
CVE-2017-2870 - HIGH -  gdk-pixbuf2: Integer overflow in tiff_image_parse function
CVE-2017-6313 - HIGH -  gdk-pixbuf: Integer underflow in io-icns.c
CVE-2016-6352 - HIGH -  gdk-pixbuf: Out-of-bounds write in OneLine32() function
CVE-2020-23922 - HIGH -  giflib: out-of-bounds read in DumpScreen2RGB() in gif2rgb.c in gif2rgb tool
CVE-2022-28506 - HIGH -  giflib:Buffer overflow in function DumpScreen2RGB()
CVE-2017-14867 - HIGH -  git: cvsserver command injection
CVE-2021-27218 - HIGH -  glib: integer overflow in g_byte_array_new_take function when called with a buffer of 4GB or more on a 64-bit platform
CVE-2021-3999 - HIGH -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2020-29573 - HIGH -  glibc: stack-based buffer overflow if the input to any of the printf family of functions is an 80-bit long double with a non-canonical bit pattern
CVE-2017-7507 - HIGH -  gnutls: Crash upon receiving well-formed status_request extension
CVE-2017-5335 - HIGH -  gnutls: Out of memory while parsing crafted OpenPGP certificate
CVE-2017-7869 - HIGH -  gnutls: Out-of-bounds write related to the cdk_pkt_read function (GNUTLS-SA-2017-3)
CVE-2017-7776 - HIGH -  graphite2: heap-buffer-overflow read "graphite2::Silf::getClassGlyph"
CVE-2017-7772 - HIGH -  graphite2: heap-buffer-overflow write "lz4::decompress" (CVE-2017-7772)
CVE-2017-7773 - HIGH -  graphite2: heap-buffer-overflow write "lz4::decompress" (src/Decompressor)
CVE-2017-7771 - HIGH -  graphite2: out of bounds read in "graphite2::Pass::readPass"
CVE-2017-7777 - HIGH -  graphite2: use of uninitialized memory "graphite2::GlyphCache::Loader::read_glyph"
CVE-2022-1271 - HIGH -  gzip: arbitrary-file-write vulnerability
CVE-2017-13748 - HIGH -  jasper: tile memory not released on image parsing errors
CVE-2017-16612 - HIGH -  libXcursor: file.c: heap-based buffer overflow when reading/creating images
CVE-2020-13790 - HIGH -  libjpeg-turbo: heap-based buffer over-read in get_rgb_row() in rdppm.c
CVE-2021-4156 - HIGH -  libsndfile: heap out-of-bounds read in src/flac.c in flac_buffer_copy
CVE-2017-6891 - HIGH -  libtasn1: Stack-based buffer overflow in asn1_find_node()
CVE-2020-35524 - HIGH -  libtiff: Heap-based buffer overflow in TIFF2PDF tool
CVE-2020-35523 - HIGH -  libtiff: Integer overflow in tif_getimage.c
CVE-2017-7592 - HIGH -  libtiff: Left shift of unsigned char without a cast
CVE-2017-12944 - HIGH -  libtiff: Mishandled memory allocation for short files in the TIFFReadDirEntryArray function
CVE-2019-17546 - HIGH -  libtiff: integer overflow leading to heap-based buffer overflow in tif_getimage.c
CVE-2017-0663 - HIGH -  libxml2: Heap buffer overflow in xmlAddID
CVE-2017-9049 - HIGH -  libxml2: Heap-based buffer over-read in function xmlDictComputeFastKey
CVE-2017-16932 - HIGH -  libxml2: Infinite recursion in parameter entities
CVE-2017-9048 - HIGH -  libxml2: Stack-based buffer overflow in function xmlSnprintfElementContent
CVE-2022-23308 - HIGH -  libxml2: Use-after-free of ID and IDREF attributes
CVE-2018-13348 - HIGH -  mercurial: Improper length check in mpatch.c
CVE-2018-13346 - HIGH -  mercurial: Missing check for fragment start position in mpatch.c:mpatch_apply()
CVE-2017-9462 - HIGH -  mercurial: Python debugger accessible to authorized users
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
CVE-2019-17007 - HIGH -  nss: Handling of Netscape Certificate Sequences in CERT_DecodeCertPackage() may crash with a NULL deref leading to DoS
CVE-2019-11745 - HIGH -  nss: Out-of-bounds write when passing an output buffer smaller than the block size to NSC_EncryptUpdate
CVE-2021-36770 - HIGH -  perl-Encode: bug in local configuration loading allows arbitrary Perl code execution placed under the current working directory
CVE-2018-1061 - HIGH -  python: DOS via regular expression backtracking in difflib.IS_LINE_JUNK method in difflib
CVE-2018-1060 - HIGH -  python: DOS via regular expression catastrophic backtracking in apop() method in pop3lib
CVE-2017-18640 - HIGH -  snakeyaml: Billion laughs attack via alias feature
CVE-2018-8740 - HIGH -  sqlite: NULL pointer dereference with databases with schema corrupted with CREATE TABLE AS allows for denial of service
CVE-2019-0203 - HIGH -  subversion: NULL pointer dereference in svnserve leading to an unauthenticated remote DoS
CVE-2022-24070 - HIGH -  subversion: Subversion's mod_dav_svn is vulnerable to memory corruption
CVE-2015-5186 - LOW -  Audit: log terminal emulator escape sequences handling
CVE-2017-6519 - LOW -  avahi: Multicast DNS responds to unicast queries outside of local network
CVE-2014-8166 - LOW -  cups: code execution via unescape ANSI escape sequences
CVE-2022-27775 - LOW -  curl: bad local IPv6 connection reuse
CVE-2017-15298 - LOW -  git: Mishandling layers of tree objects
CVE-2022-24975 - LOW -  git: The --mirror option for git leaks secret for deleted content, aka the "GitBleed"
CVE-2018-1000021 - LOW -  git: client prints server-sent ANSI escape codes to the terminal, allowing for unverified messages to potentially execute arbitrary commands
CVE-2012-0039 - LOW -  glib2: hash table collisions CPU usage DoS
CVE-2016-9600 - LOW -  jasper: JP2 encoder NULL pointer dereference due to uninitialized cmprof_
CVE-2017-13751 - LOW -  jasper: reachable assertion in calcstepsizes()
CVE-2017-13750 - LOW -  jasper: reachable assertion in jpc_dec_process_siz() - dec->numhtiles
CVE-2017-13746 - LOW -  jasper: reachable assertion in jpc_dec_process_siz() - dec->numvtiles
CVE-2017-13752 - LOW -  jasper: reachable assertion in jpc_dequantize()
CVE-2017-13747 - LOW -  jasper: reachable assertion in jpc_floorlog2()
CVE-2017-13749 - LOW -  jasper: reachable assertion in jpc_pi_nextrpcl()
CVE-2017-11462 - LOW -  krb5: Automatic sec context deletion could lead to double-free
CVE-2017-15088 - LOW -  krb5: Buffer overflow in get_matching_data()
CVE-2016-7943 - LOW -  libX11: Insufficient validation of server responses in FontNames
CVE-2016-7942 - LOW -  libX11: Insufficient validation of server responses in XGetImage()
CVE-2016-7944 - LOW -  libXfixes: Insufficient validation of server responses results in Integer overflow
CVE-2016-7945 - LOW -  libXi: Insufficient validation of server responses result in Integer overflows
CVE-2016-7946 - LOW -  libXi: Insufficient validation of server responses result in various data mishandlings
CVE-2016-7947 - LOW -  libXrandr: Insufficient validation of server responses result in Integer overflows
CVE-2016-7948 - LOW -  libXrandr: Insufficient validation of server responses result in various data mishandlings
CVE-2016-7949 - LOW -  libXrender: Insufficient validation of server responses results in overflow of previously reserved memory
CVE-2016-7950 - LOW -  libXrender: Insufficient validation of server responses results out-of-bounds write in XRenderQueryFilters
CVE-2016-7951 - LOW -  libXtst: Insufficient validation of server responses result in Integer overflows
CVE-2016-7952 - LOW -  libXtst: Insufficient validation of server responses result in various data mishandlings
CVE-2019-2201 - LOW -  libjpeg-turbo: several integer overflows and subsequent segfaults when attempting to compress/decompress gigapixel images
CVE-2020-14152 - LOW -  libjpeg: improper handling of max_memory_to_use setting can lead to excessive memory consumption
CVE-2016-10371 - LOW -  libtiff: Assertion failure in TIFFWriteDirectoryTagCheckedRational
CVE-2020-35521 - LOW -  libtiff: Memory allocation failure in tiff2rgba
CVE-2020-35522 - LOW -  libtiff: Memory allocation failure in tiff2rgba
CVE-2016-9539 - LOW -  libtiff: Out-of-bounds read in readContigTilesIntoBuffer()
CVE-2010-2596 - LOW -  libtiff: assertion failure on downsampled OJPEG file
CVE-2017-17973 - LOW -  libtiff: heap-based use after free in tiff2pdf.c:t2p_writeproc
CVE-2020-8991 - LOW -  lvm2: memory leak in vg_lookup in daemons/lvmetad/lvmetad-core.c
CVE-2021-3601 - LOW -  openssl: Certificate with CA:FALSE is accepted as valid CA cert
CVE-2008-4108 - LOW -  python: Generic FAQ wizard moving tool insecure auxiliary /tmp file usage (symlink attack possible)
CVE-2019-9674 - LOW -  python: Nested zip file (Zip bomb) vulnerability in Lib/zipfile.py
CVE-2004-0971 - LOW -  security flaw
CVE-2017-13685 - LOW -  sqlite: Local DoS via dump_callback function
CVE-2021-4217 - LOW -  unzip: Null pointer dereference in Unicode strings code
CVE-2021-37600 - LOW -  util-linux: integer overflow can lead to buffer overflow in get_sem_elements() in sys-utils/ipcutils.c
CVE-2021-4209 - MEDIUM -  GnuTLS: Null pointer dereference in MD_UPDATE
CVE-2022-22747 - MEDIUM -  Mozilla: Crash when handling empty pkcs7 sequence
CVE-2018-0495 - MEDIUM -  ROHNP: Key Extraction Side Channel in Multiple Crypto Libraries
