CVE-2022-27404 - CRITICAL -  FreeType: Buffer Overflow
CVE-2021-35942 - CRITICAL -  glibc: Arbitrary read in wordexp()
CVE-2022-23219 - CRITICAL -  glibc: Stack-based buffer overflow in sunrpc clnt_create via a long pathname
CVE-2022-23218 - CRITICAL -  glibc: Stack-based buffer overflow in svcunix_create via long pathnames
CVE-2021-33574 - CRITICAL -  glibc: mq_notify does not handle separately allocated thread attributes
CVE-2022-1586 - CRITICAL -  pcre2: Out-of-bounds read in compile_xclass_matchingpath in pcre2_jit_compile.c
CVE-2022-1587 - CRITICAL -  pcre2: Out-of-bounds read in get_recurse_data_length in pcre2_jit_compile.c
CVE-2015-20107 - CRITICAL -  python(mailcap): findmatch() function does not sanitise the second argument
CVE-2021-3177 - CRITICAL -  python: Stack-based buffer overflow in PyCArg_repr in _ctypes/callproc.c
CVE-2019-8457 - CRITICAL -  sqlite: heap out-of-bound read in function rtreenode()
CVE-2022-28356 - HIGH -  CVE-2022-28356 kernel: refcount leak in llc_ui_bind and llc_ui_autobind
CVE-2022-27405 - HIGH -  FreeType: Segementation Fault
CVE-2022-27406 - HIGH -  Freetype: Segmentation violation
CVE-2021-20313 - HIGH -  ImageMagick: Cipher leak when the calculating signatures in TransformSignatureof MagickCore/signature.c
CVE-2021-20312 - HIGH -  ImageMagick: Integer overflow in WriteTHUMBNAILImage of coders/thumbnail.c
CVE-2020-29599 - HIGH -  ImageMagick: Shell injection via PDF password could result in arbitrary code execution
CVE-2020-19667 - HIGH -  ImageMagick: Stack buffer overflow in XPM coder could result in a crash
CVE-2020-27752 - HIGH -  ImageMagick: heap-based buffer overflow in PopShortPixel in MagickCore/quantum-private.h
CVE-2022-28463 - HIGH -  ImageMagick: heap-buffer-overflow in PushLongPixel() of quantum-private.h
CVE-2022-1114 - HIGH -  ImageMagick: heap-use-after-free in RelinquishDCMInfo of dcm.c
CVE-2020-27766 - HIGH -  ImageMagick: outside the range of representable values of type 'unsigned long' at MagickCore/statistic.c
CVE-2021-20309 - HIGH -  ImagemMagick: Division by zero in WaveImage() of MagickCore/visual-effects.c
CVE-2022-1353 - HIGH -  Kernel: A kernel-info-leak issue in pfkey_register
CVE-2021-20299 - HIGH -  OpenEXR: Null-dereference READ in Imf_2_5::Header::operator
CVE-2021-20298 - HIGH -  OpenEXR: Out-of-memory in B44Compressor
CVE-2021-22946 - HIGH -  curl: Requirement to use TLS not properly enforced for IMAP, POP3, and FTP protocols
CVE-2022-1304 - HIGH -  e2fsprogs: out-of-bounds read/write via crafted filesystem
CVE-2022-25308 - HIGH -  fribidi: Stack based buffer overflow
CVE-2019-15847 - HIGH -  gcc: POWER9 "DARN" RNG intrinsic produces repeated output
CVE-2018-12886 - HIGH -  gcc: spilling of stack protection address in cfgexpand.c and function.c leads to stack-overflow protection bypass
CVE-2022-24765 - HIGH -  git: On multi-user machines Git users might find themselves unexpectedly in a Git worktree
CVE-2021-21300 - HIGH -  git: remote code execution during clone operation on case-insensitive filesystems
CVE-2021-40330 - HIGH -  git: unexpected cross-protocol requests via a repository path containing a newline character
CVE-2021-3326 - HIGH -  glibc: Assertion failure in ISO-2022-JP-3 gconv module related to combining characters
CVE-2021-3999 - HIGH -  glibc: Off-by-one buffer overflow/underflow in getcwd()
CVE-2020-1751 - HIGH -  glibc: array overflow in backtrace functions for powerpc
CVE-2020-1752 - HIGH -  glibc: use-after-free in glob() function when expanding ~user
CVE-2022-1247 - HIGH -  kernel: A race condition bug in rose_connect()
CVE-2022-1011 - HIGH -  kernel: FUSE allows UAF reads of write() buffers, allowing theft of (partial) /etc/shadow hashes
CVE-2022-29581 - HIGH -  kernel: Improper Update of Reference Count vulnerability in net/sched
CVE-2020-12362 - HIGH -  kernel: Integer overflow in Intel(R) Graphics Drivers
CVE-2022-1012 - HIGH -  kernel: Small table perturb size in the TCP source port generation algorithm can lead to information leak
CVE-2022-1679 - HIGH -  kernel: Use-After-Free in ath9k_htc_probe_device() could cause an escalation of privileges
CVE-2022-1419 - HIGH -  kernel: a concurrency use-after-free in vgem_gem_dumb_create
CVE-2022-28390 - HIGH -  kernel: a double free in ems_usb_start_xmit in drivers/net/can/usb/ems_usb.c
CVE-2022-28389 - HIGH -  kernel: a double free in mcba_usb_start_xmit in drivers/net/can/usb/mcba_usb.c
CVE-2022-28388 - HIGH -  kernel: a double free in usb_8dev_start_xmit in drivers/net/can/usb/usb_8dev.c
CVE-2022-27666 - HIGH -  kernel: buffer overflow in IPsec ESP transformation code
CVE-2021-38207 - HIGH -  kernel: buffer overflow in drivers/net/ethernet/xilinx/ll_temac_main.c by sending heavy network traffic for about ten minutes
CVE-2021-4197 - HIGH -  kernel: cgroup: Use open-time creds and namespace for migration perm checks
CVE-2021-3864 - HIGH -  kernel: descendant's dumpable setting with certain SUID binaries
CVE-2021-3847 - HIGH -  kernel: low-privileged user privileges escalation
CVE-2013-7445 - HIGH -  kernel: memory exhaustion via crafted Graphics Execution Manager (GEM) objects
CVE-2022-30594 - HIGH -  kernel: mishandled seccomp permissions
CVE-2019-19449 - HIGH -  kernel: mounting a crafted f2fs filesystem image can lead to slab-out-of-bounds read access in f2fs_build_segment_manager in fs/f2fs/segment.c
CVE-2019-19814 - HIGH -  kernel: out-of-bounds write in __remove_dirty_segment in fs/f2fs/segment.c
CVE-2019-19378 - HIGH -  kernel: out-of-bounds write in index_rbio_pages in fs/btrfs/raid56.c
CVE-2021-3493 - HIGH -  kernel: overlayfs file system caps privilege escalation
CVE-2022-26490 - HIGH -  kernel: potential buffer overflows in EVT_TRANSACTION in st21nfca
CVE-2022-1729 - HIGH -  kernel: race condition in perf_event_open leads to privilege escalation
CVE-2022-1048 - HIGH -  kernel: race condition in snd_pcm_hw_free leading to use-after-free
CVE-2020-36385 - HIGH -  kernel: use-after-free in drivers/infiniband/core/ucma.c ctx use-after-free
CVE-2021-33560 - HIGH -  libgcrypt: mishandles ElGamal encryption because it lacks exponent blinding to address a side-channel attack against mpi_powm
CVE-2019-13115 - HIGH -  libssh2: integer overflow in kex_method_diffie_hellman_group_exchange_sha256_key_exchange in kex.c leads to out-of-bounds write
CVE-2017-16932 - HIGH -  libxml2: Infinite recursion in parameter entities
CVE-2021-46669 - HIGH -  mariadb: MariaDB through 10.5.9 allows attackers to trigger a convert_const_to_int use-after-free when the BIGINT data type is used
CVE-2022-27376 - HIGH -  mariadb: assertion failure in Item_args::walk_arg
CVE-2022-27456 - HIGH -  mariadb: assertion failure in VDec::VDec at /sql/sql_type.cc
CVE-2022-27445 - HIGH -  mariadb: assertion failure in compare_order_elements
CVE-2022-27452 - HIGH -  mariadb: assertion failure in sql/item_cmpfunc.cc
CVE-2022-27449 - HIGH -  mariadb: assertion failure in sql/item_func.cc
CVE-2022-27382 - HIGH -  mariadb: assertion failure via component Item_field::used_tables/update_depend_map_for_order
CVE-2022-27387 - HIGH -  mariadb: assertion failures in decimal_bin_size
CVE-2022-27385 - HIGH -  mariadb: crash in Used_tables_and_const_cache::used_tables_and_const_cache_join
CVE-2022-27448 - HIGH -  mariadb: crash in multi-update and implicit grouping
CVE-2022-27384 - HIGH -  mariadb: crash via component Item_subselect::init_expr_cache_tracker
CVE-2022-27451 - HIGH -  mariadb: crash via window function in expression in ORDER BY
CVE-2022-27446 - HIGH -  mariadb: crash when using HAVING with IS NULL predicate in an equality
CVE-2022-27444 - HIGH -  mariadb: crash when using HAVING with NOT EXIST predicate in an equality
CVE-2022-27457 - HIGH -  mariadb: incorrect key in "dup value" error after long unique
CVE-2022-27381 - HIGH -  mariadb: server crash at Field::set_default via specially crafted SQL statements
CVE-2022-27380 - HIGH -  mariadb: server crash at my_decimal::operator=
CVE-2022-27379 - HIGH -  mariadb: server crash in component arg_comparator::compare_real_fixed
CVE-2022-27378 - HIGH -  mariadb: server crash in create_tmp_table::finalize
CVE-2022-27386 - HIGH -  mariadb: server crashes in query_arena::set_query_arena upon SELECT from view
CVE-2022-27455 - HIGH -  mariadb: use-after-free when WHERE has subquery with an outer reference in HAVING
CVE-2022-27447 - HIGH -  mariadb: use-after-poison in Binary_string::free_buffer
CVE-2022-27458 - HIGH -  mariadb: use-after-poison in Binary_string::free_buffer
CVE-2022-27383 - HIGH -  mariadb: use-after-poison in my_strcasecmp_8bit() of ctype-simple.c
CVE-2022-27377 - HIGH -  mariadb: use-after-poison when complex conversion is involved in blob
CVE-2022-29458 - HIGH -  ncurses: segfaulting OOB read
CVE-2020-11080 - HIGH -  nghttp2: overly large SETTINGS frames can lead to DoS
CVE-2021-3575 - HIGH -  openjpeg: heap-buffer-overflow in color.c may lead to DoS or arbitrary code execution
CVE-2021-41617 - HIGH -  openssh: privilege escalation when AuthorizedKeysCommand or AuthorizedPrincipalsCommand are configured
CVE-2019-20454 - HIGH -  pcre: Out of bounds read in JIT mode when \X is used in non-UTF mode
CVE-2020-16156 - HIGH -  perl-CPAN: Bypass of verification of signatures in CHECKSUMS files
CVE-2022-0391 - HIGH -  python: urllib.parse does not sanitize URLs containing ASCII newline and tabs
CVE-2021-3737 - HIGH -  python: urllib: HTTP client possible infinite loop on a 100 Continue response
CVE-2019-19603 - HIGH -  sqlite: mishandling of certain SELECT statements with non-existent VIEW can lead to DoS
CVE-2019-3843 - HIGH -  systemd: services with DynamicUser can create SUID/SGID binaries
CVE-2019-3844 - HIGH -  systemd: services with DynamicUser can get new privileges and create SGID binaries
CVE-2016-9114 - LOW -  CVE-2016-9113 CVE-2016-9114 CVE-2016-9115 CVE-2016-9116 CVE-2016-9117 CVE-2016-9118 openjpeg2: Multiple security issues
CVE-2016-9115 - LOW -  CVE-2016-9113 CVE-2016-9114 CVE-2016-9115 CVE-2016-9116 CVE-2016-9117 CVE-2016-9118 openjpeg2: Multiple security issues
CVE-2016-9116 - LOW -  CVE-2016-9113 CVE-2016-9114 CVE-2016-9115 CVE-2016-9116 CVE-2016-9117 CVE-2016-9118 openjpeg2: Multiple security issues
CVE-2016-9117 - LOW -  CVE-2016-9113 CVE-2016-9114 CVE-2016-9115 CVE-2016-9116 CVE-2016-9117 CVE-2016-9118 openjpeg2: Multiple security issues
CVE-2016-9113 - LOW -  CVE-2016-9114 CVE-2016-9115 CVE-2016-9116 CVE-2016-9117 CVE-2016-9118 openjpeg2: Multiple security issues
CVE-2007-6755 - LOW -  Dual_EC_DRBG: weak pseudo random number generator
CVE-2008-3134 - LOW -  GraphicsMagick/ImageMagick: multiple crash or DoS issues
CVE-2011-3389 - LOW -  HTTPS: block-wise chosen-plaintext attack against SSL/TLS (BEAST)
CVE-2018-15607 - LOW -  ImageMagick: CPU Exhaustion via crafted input file
CVE-2021-20311 - LOW -  ImageMagick: Division by zero in sRGBTransformImage() in MagickCore/colorspace.c
CVE-2016-8678 - LOW -  ImageMagick: Heap-buffer overflow in IsPixelMonochrome
CVE-2017-7275 - LOW -  ImageMagick: Memory allocation failure in AcquireMagickMemory (incomplete fix for  CVE-2016-8866)
CVE-2017-11754 - LOW -  ImageMagick: Memory leak in WritePICONImage function
CVE-2017-11755 - LOW -  ImageMagick: Memory leak in WritePICONImage function via mishandled AcquireSemaphoreInfo call
CVE-2020-27773 - LOW -  ImageMagick: division by zero at MagickCore/gem-private.h
CVE-2020-27763 - LOW -  ImageMagick: division by zero at MagickCore/resize.c
CVE-2020-27765 - LOW -  ImageMagick: division by zero at MagickCore/segment.c
CVE-2020-27560 - LOW -  ImageMagick: division by zero in OptimizeLayerFrames function in MagickCore/layer.c
CVE-2020-27774 - LOW -  ImageMagick: integer overflow at MagickCore/statistic.c
CVE-2020-27751 - LOW -  ImageMagick: integer overflow in MagickCore/quantum-export.c
CVE-2019-16709 - LOW -  ImageMagick: memory leak in coders/dps.c
CVE-2019-13310 - LOW -  ImageMagick: memory leaks at AcquireMagickMemory because of an error in MagickWand/mogrify.c
CVE-2020-27753 - LOW -  ImageMagick: memory leaks in AcquireMagickMemory function
CVE-2020-27755 - LOW -  ImageMagick: memory leaks in ResizeMagickMemory function in ImageMagick/MagickCore/memory.c
CVE-2020-10251 - LOW -  ImageMagick: out-of-bounds read in ReadHEICImageByID function in coders/heic.c
CVE-2020-27769 - LOW -  ImageMagick: outside the range of representable values of type 'float' at MagickCore/quantize.c
CVE-2020-27767 - LOW -  ImageMagick: outside the range of representable values of type 'float' at MagickCore/quantum.h
CVE-2020-27759 - LOW -  ImageMagick: outside the range of representable values of type 'int' at MagickCore/quantize.c
CVE-2020-25675 - LOW -  ImageMagick: outside the range of representable values of type 'long' and integer overflow at MagickCore/transform.c and MagickCore/image.c
CVE-2020-27754 - LOW -  ImageMagick: outside the range of representable values of type 'long' and signed integer overflow at MagickCore/quantize.c
CVE-2020-27775 - LOW -  ImageMagick: outside the range of representable values of type 'unsigned char' at MagickCore/quantum.h
CVE-2020-27771 - LOW -  ImageMagick: outside the range of representable values of type 'unsigned char' at coders/pdf.c
CVE-2020-27768 - LOW -  ImageMagick: outside the range of representable values of type 'unsigned int' at MagickCore/quantum-private.h
CVE-2020-27772 - LOW -  ImageMagick: outside the range of representable values of type 'unsigned int' at coders/bmp.c
CVE-2020-27757 - LOW -  ImageMagick: outside the range of representable values of type 'unsigned long long' at MagickCore/quantum-private.h
CVE-2020-27758 - LOW -  ImageMagick: outside the range of representable values of type 'unsigned long long' at coders/txt.c
CVE-2020-27764 - LOW -  ImageMagick: outside the range of representable values of type 'unsigned long' at MagickCore/statistic.c
CVE-2020-27776 - LOW -  ImageMagick: outside the range of representable values of type 'unsigned long' at MagickCore/statistic.c
CVE-2020-27761 - LOW -  ImageMagick: outside the range of representable values of type 'unsigned long' at coders/palm.c
CVE-2020-25666 - LOW -  ImageMagick: outside the range of representable values of type int and signed integer overflow in MagickCore/histogram.c
CVE-2015-2877 - LOW -  Kernel: Cross-VM ASL INtrospection (CAIN)
CVE-2017-14988 - LOW -  OpenEXR: Excessive memory allocation in Header::readfrom
CVE-2021-26945 - LOW -  OpenEXR: Integer-overflow in bool Imf_2_5::readDeepTile<Imf_2_5::DeepTiledInputPart>
CVE-2018-18443 - LOW -  OpenEXR: Memory leak in ThreadPool in in IlmBase/IlmThread/IlmThreadPool.cpp
CVE-2021-20304 - LOW -  OpenEXR: Undefined-shift in Imf_2_5::hufDecode
CVE-2019-18276 - LOW -  bash: when effective UID is not equal to its real UID the saved UID is not dropped
CVE-2021-3487 - LOW -  binutils: Excessive debug section size can cause excessive memory consumption in bfd's dwarf2.c read_section()
CVE-2021-20284 - LOW -  binutils: Heap-based buffer overflow in _bfd_elf_slurp_secondary_reloc_section in elf.c
CVE-2018-19931 - LOW -  binutils: Heap-based buffer overflow in bfd_elf32_swap_phdr_in function resulting in a denial of service
CVE-2020-35448 - LOW -  binutils: Heap-based buffer overflow in bfd_getl_signed_32() in libbfd.c because sh_entsize is not validated in _bfd_elf_slurp_secondary_reloc_section() in elf.c
CVE-2019-1010204 - LOW -  binutils: Improper Input Validation, Signed/Unsigned Comparison, Out-of-bounds Read in gold/fileread.cc and elfcpp/elfcpp_file.h leads to denial of service
CVE-2018-19932 - LOW -  binutils: Integer overflow due to the IS_CONTAINED_BY_LMA macro resulting in a denial of service
CVE-2018-18483 - LOW -  binutils: Integer overflow in cplus-dem.c:get_count() allows for denial of service
CVE-2018-20671 - LOW -  binutils: Integer overflow in load_specific_debug_section function
CVE-2017-13716 - LOW -  binutils: Memory leak with the C++ symbol demangler routine in libiberty
CVE-2018-18606 - LOW -  binutils: NULL pointer dereference in _bfd_add_merge_section in merge_strings function in merge.c
CVE-2020-35507 - LOW -  binutils: NULL pointer dereference in bfd_pef_parse_function_stubs function in bfd/pef.c
CVE-2020-35495 - LOW -  binutils: NULL pointer dereference in bfd_pef_parse_symbols function in bfd/pef.c
CVE-2020-35496 - LOW -  binutils: NULL pointer dereference in bfd_pef_scan_start_address function in bfd/pef.c
CVE-2018-20651 - LOW -  binutils: NULL pointer dereference in elf_link_add_object_symbols function resulting in a denial of service
CVE-2018-18607 - LOW -  binutils: NULL pointer dereference in elf_link_input_bfd in elflink.c
CVE-2018-17794 - LOW -  binutils: NULL pointer dereference in libiberty/cplus-dem.c:work_stuff_copy_to_from() via crafted input
CVE-2018-12697 - LOW -  binutils: NULL pointer dereference in work_stuff_copy_to_from in cplus-dem.c.
CVE-2020-16599 - LOW -  binutils: Null Pointer Dereference in _bfd_elf_get_symbol_version_string could result in DoS
CVE-2020-16593 - LOW -  binutils: Null Pointer Dereference in scan_unit_for_symbols could result in DoS
CVE-2021-20197 - LOW -  binutils: Race window allows users to own arbitrary files
CVE-2018-18700 - LOW -  binutils: Recursive Stack Overflow within function d_name, d_encoding, and d_local_name in cp-demangle.c
CVE-2018-9138 - LOW -  binutils: Stack Exhaustion in the the C++ demangling functions provided by libiberty
CVE-2018-17985 - LOW -  binutils: Stack consumption problem caused by the cplus_demangle_type
CVE-2018-18484 - LOW -  binutils: Stack exhaustion in cp-demangle.c allows for denial of service
CVE-2018-9996 - LOW -  binutils: Stack-overflow in libiberty/cplus-dem.c causes crash
CVE-2018-12934 - LOW -  binutils: Uncontrolled Resource Consumption in remember_Ktype in cplus-dem.c
CVE-2018-20623 - LOW -  binutils: Use-after-free in the error function
CVE-2019-17450 - LOW -  binutils: denial of service via crafted ELF file
CVE-2020-16590 - LOW -  binutils: double free vulnerability in process_symbol_table could result in DoS
CVE-2019-9073 - LOW -  binutils: excessive memory allocation in function _bfd_elf_slurp_version_tables in elf.c
CVE-2018-12698 - LOW -  binutils: excessive memory consumption in demangle_template in cplus-dem.c
CVE-2018-17360 - LOW -  binutils: heap-based buffer over-read in bfd_getl32 in libbfd.c
