CVE-2021-44906 - CRITICAL -  minimist: prototype pollution
CVE-2021-43138 - HIGH -  Prototype Pollution in async
CVE-2021-42380 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the clrvar()
CVE-2021-42383 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the evaluate()
CVE-2021-42385 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the evaluate()
CVE-2021-42378 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_i()
CVE-2021-42382 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the getvar_s()
CVE-2021-42384 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the handle_special()
CVE-2021-42381 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the hash_init()
CVE-2021-42379 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the next_input_file()
CVE-2021-42386 - HIGH -  busybox: use-after-free in awk applet leads to denial of service and possibly code execution when processing a crafted awk pattern in the nvalloc()
CVE-2022-23648 - HIGH -  containerd: insecure handling of image volumes
CVE-2021-41103 - HIGH -  containerd: insufficiently restricted permissions on container root and plugin directories
CVE-2015-3627 - HIGH -  docker: insecure opening of file-descriptor 1 leading to privilege escalation
CVE-2022-29078 - HIGH -  ejs: server-side template injection in outputFunctionName
CVE-2021-3121 - HIGH -  gogo/protobuf: plugin/unmarshal/unmarshal.go lacks certain index validation
CVE-2022-27191 - HIGH -  golang: crash in a golang.org/x/crypto/ssh server
CVE-2020-26160 - HIGH -  jwt-go: access restriction bypass vulnerability
CVE-2021-23424 - HIGH -  nodejs-ansi-html: ReDoS via crafted string
CVE-2021-3807 - HIGH -  nodejs-ansi-regex: Regular expression denial of service (ReDoS) matching ANSI escape codes
CVE-2019-16884 - HIGH -  runc: AppArmor/SELinux bypass with malicious image that specifies a volume at /proc
CVE-2019-19921 - HIGH -  runc: volume mount race condition with shared mounts leads to information leak/integrity manipulation
CVE-2021-30465 - HIGH -  runc: vulnerable to symlink exchange attack
CVE-2021-3820 - MEDIUM -  Inefficient Regular Expression in inflect
CVE-2021-42374 - MEDIUM -  busybox: out-of-bounds read in unlzma applet leads to information leak and denial of service when crafted LZMA-compressed input is decompressed
CVE-2021-21334 - MEDIUM -  containerd CRI plugin: information leak between containers via environment variables
CVE-2020-15157 - MEDIUM -  containerd: credentials leak during image pull
CVE-2021-32760 - MEDIUM -  containerd: pulling and extracting crafted container image may result in Unix file permission changes
CVE-2020-15257 - MEDIUM -  containerd: unrestricted access to abstract Unix domain socket can lead to privileges escalation
CVE-2020-13401 - MEDIUM -  docker: IPv6 router advertisements allow for MitM attacks
CVE-2016-9962 - MEDIUM -  docker: insecure opening of file-descriptor allows privilege escalation
CVE-2022-24769 - MEDIUM -  moby: Default inheritable capabilities for linux container should be empty
CVE-2021-32796 - MEDIUM -  nodejs-xmldom: misinterpretation of malicious XML input
CVE-2021-43784 - MEDIUM -  runc: integer overflow in netlink bytemsg length field allows attacker to override netlink-based container configuration
GMS-2021-175 - UNKNOWN -  Ambiguous OCI manifest parsing
GMS-2021-101 - UNKNOWN -  Clarify `mediaType` handling
GMS-2021-177 - UNKNOWN -  Devices resource list treated as a denylist by default
GMS-2022-20 - UNKNOWN -  OCI Manifest Type Confusion Issue
