CVE-2022-27405 - LOW -  FreeType: Segementation Fault
CVE-2022-27406 - LOW -  Freetype: Segmentation violation
CVE-2019-13050 - LOW -  GnuPG: interaction between the sks-keyserver code and GnuPG allows for a Certificate Spamming Attack which leads to persistent DoS
CVE-2022-22747 - LOW -  Mozilla: Crash when handling empty pkcs7 sequence
CVE-2021-20299 - LOW -  OpenEXR: Null-dereference READ in Imf_2_5::Header::operator
CVE-2021-45942 - LOW -  OpenEXR: heap-based buffer overflow in Imf_3_1:LineCompositeTask:execute
CVE-2019-7572 - LOW -  SDL: buffer over-read in IMA_ADPCM_nibble in audio/SDL_wave.c
CVE-2019-7577 - LOW -  SDL: buffer over-read in SDL_LoadWAV_RW in audio/SDL_wave.c
CVE-2019-7574 - LOW -  SDL: heap-based buffer over-read in IMA_ADPCM_decode in audio/SDL_wave.c
CVE-2019-7578 - LOW -  SDL: heap-based buffer over-read in InitIMA_ADPCM in audio/SDL_wave.c
CVE-2019-7573 - LOW -  SDL: heap-based buffer over-read in InitMS_ADPCM in audio/SDL_wave.c
CVE-2019-7576 - LOW -  SDL: heap-based buffer over-read in InitMS_ADPCM in audio/SDL_wave.c
CVE-2019-7575 - LOW -  SDL: heap-based buffer overflow in MS_ADPCM_decode in audio/SDL_wave.c
CVE-2019-13616 - LOW -  SDL: heap-based buffer overflow in SDL blit functions in video/SDL_blit*.c
CVE-2017-7475 - LOW -  cairo: NULL pointer dereference with a crafted font file
CVE-2018-18064 - LOW -  cairo: Stack-based buffer overflow via parsing of crafted WebKitGTK+ document
CVE-2019-6461 - LOW -  cairo: assertion problem in _cairo_arc_in_direction in cairo-arc.c
CVE-2016-2781 - LOW -  coreutils: Non-privileged session can escape to the parent session in chroot
CVE-2020-10001 - LOW -  cups: access to uninitialized buffer in ipp.c
CVE-2022-27781 - LOW -  curl: CERTINFO never-ending busy-loop
CVE-2020-35512 - LOW -  dbus: users with the same numeric UID could lead to use-after-free and undefined behaviour
CVE-2020-0499 - LOW -  flac: out-of-bounds read can lead to denial of service
CVE-2020-23922 - LOW -  giflib: out-of-bounds read in DumpScreen2RGB() in gif2rgb.c in gif2rgb tool
CVE-2022-28506 - LOW -  giflib:Buffer overflow in function DumpScreen2RGB()
CVE-2016-10739 - LOW -  glibc: getaddrinfo should reject IP addresses with trailing characters
CVE-2009-5155 - LOW -  glibc: parse_reg_exp in posix/regcomp.c misparses alternatives leading to denial of service or trigger incorrect result
CVE-2015-8985 - LOW -  glibc: potential denial of service in pop_fail_stack()
CVE-2018-16868 - LOW -  gnutls: Bleichenbacher-like side channel leakage in PKCS#1 v1.5 verification and padding oracle verification
CVE-2021-4048 - LOW -  lapack: Out-of-bounds read in *larrv
CVE-2017-18201 - LOW -  libcdio: Double free in get_cdtext_generic() in lib/driver/_cdio_generic.c
CVE-2017-8871 - LOW -  libcroco: Infinite loop in the cr_parser_parse_selector_core function
CVE-2017-8834 - LOW -  libcroco: Memory allocation failure in the cr_tknzr_parse_comment function
CVE-2017-7960 - LOW -  libcroco: Out-of-bounds read due to missing index check in cr-input.c
CVE-2020-12825 - LOW -  libcroco: Stack overflow in function cr_parser_parse_any_core in cr-parser.c
CVE-2020-17541 - LOW -  libjpeg-turbo: Stack-based buffer overflow in the "transform" component
CVE-2018-11813 - LOW -  libjpeg: "cjpeg" utility large loop because read_pixel in rdtarga.c mishandles EOF
CVE-2018-14048 - LOW -  libpng: Segmentation fault in png.c:png_free_data function causing denial of service
CVE-2019-20446 - LOW -  librsvg: Resource exhaustion via crafted SVG file with nested patterns
CVE-2021-4156 - LOW -  libsndfile: heap out-of-bounds read in src/flac.c in flac_buffer_copy
CVE-2022-0561 - LOW -  libtiff: Denial of Service via crafted TIFF file
CVE-2020-35522 - LOW -  libtiff: Memory allocation failure in tiff2rgba
CVE-2018-10126 - LOW -  libtiff: NULL pointer dereference in the jpeg_fdct_16x16 function in jfdctint.c
CVE-2022-0562 - LOW -  libtiff: Null source pointer lead to Denial of Service via crafted TIFF file
CVE-2020-19131 - LOW -  libtiff: a buffer overflow via the "invertImage()" may lead to DoS
CVE-2020-19144 - LOW -  libtiff: heap-based buffer overflow in _TIFFmemcpy() in tif_unix.c
CVE-2017-9937 - LOW -  libtiff: memory malloc failure in tif_jbig.c could cause DOS.
CVE-2022-22844 - LOW -  libtiff: out-of-bounds read in _TIFFmemcpy() in tif_unix.c
CVE-2017-14160 - LOW -  libvorbis: Out-of-bounds read in the bark_noise_hybridmp function
CVE-2018-10392 - LOW -  libvorbis: heap buffer overflow in mapping0_forward function
CVE-2018-10393 - LOW -  libvorbis: stack buffer overflow in bark_noise_hybridmp function
CVE-2017-14107 - LOW -  libzip: Memory allocation failure in _zip_cdir_grow function
CVE-2019-17594 - LOW -  ncurses: heap-based buffer overflow in the _nc_find_entry function in tinfo/comp_hash.c
CVE-2019-17595 - LOW -  ncurses: heap-based buffer overflow in the fmt_entry function in tinfo/comp_hash.c
CVE-2017-11697 - LOW -  nss: Floating Point Exception in __hash_open
CVE-2017-11698 - LOW -  nss: Heap-buffer-overflow in __get_page
CVE-2017-11696 - LOW -  nss: Heap-buffer-overflow in __hash_open
CVE-2017-11695 - LOW -  nss: Heap-buffer-overflow in alloc_segs
CVE-2020-25648 - LOW -  nss: TLS 1.3 CCS flood remote DoS Attack
CVE-2020-9849 - LOW -  null
CVE-2020-9991 - LOW -  null
CVE-2019-6988 - LOW -  openjpeg: DoS via memory exhaustion in opj_decompress
CVE-2019-12973 - LOW -  openjpeg: denial of service in function opj_t1_encode_cblks in openjp2/t1.c
CVE-2020-27841 - LOW -  openjpeg: heap-based buffer overflows in lib/openjp2/pi.c
CVE-2021-3575 - LOW -  openjpeg: heap-buffer-overflow in color.c may lead to DoS or arbitrary code execution
